design,n_pool,rbo_int_raw_p060,rbo_int_corr_p060,rbo_ext_raw_p060,rbo_ext_corr_p060,rbo_int_raw_p090,rbo_int_corr_p090,rbo_ext_raw_p090,rbo_ext_corr_p090,rbo_int_raw_p096,rbo_int_corr_p096,rbo_ext_raw_p096,rbo_ext_corr_p096
aes,157,0.7744217937533022,0.7744064421462321,0.7744217937533022,0.7744064421462321,0.7508719592398294,0.7483811342727326,0.7508686555408153,0.7483784690297176,0.8004468023404463,0.8189041094598065,0.7993921148458967,0.8179741031370296
bitonic_sorter,8,0.16542994285714285,0.9200320000000002,0.16542994285714285,0.9200320000000002,0.6478059857142857,0.9416530000000001,0.6478059857142857,0.9416530000000001,0.8415478374165941,0.9720698675199999,0.8415478374165941,0.9720698675199999
double_fpu,889,0.26977528216403984,0.2697752816992193,0.2697752834502522,0.26977528305111875,0.6843100250770957,0.685299850570432,0.6847474904804546,0.6858909284190596,0.7680437140466985,0.7905785871771058,0.7707363738449542,0.7950997807896
e203,1000,0.16048414550285872,0.1578324041100876,0.16048414550285872,0.1578324041100876,0.4356906955466082,0.46167183940781276,0.4356906955466082,0.46167183940781276,0.4277776155895986,0.6136733726202733,0.4277776155895986,0.6136733726202733
jpeg_encoder,201,0.8217220492223307,0.8832579822450459,0.8217228780687243,0.8832592495522258,0.43087501877986606,0.7919959544471349,0.4347476320313145,0.7943927299477122,0.3826787992262897,0.7804042630419583,0.39982309054007287,0.790593344589398
reed_solomon,312,0.4867382271874952,0.5257794589055654,0.4867382271874952,0.5235935128668178,0.48917843274668615,0.7462827509740327,0.48917843274668615,0.7303163395974456,0.3785077467867267,0.8054881118965332,0.3785077467867267,0.7923530615307767
sha512,206,0.9753238604803697,0.9757223398159205,0.9753238604803697,0.9757223398159205,0.9468678088957179,0.9644966504205608,0.9468675137690635,0.9644963552939063,0.8785277083233648,0.9390703844307156,0.8783519758300434,0.9388946519373942
systolic_tpu,88,0.9101946472278073,0.915054675206195,0.9101946472278073,0.915054675206195,0.7597211689303462,0.8586211100901915,0.7597211689303462,0.8586211100901915,0.7104854042385914,0.8714533217115397,0.7104854042385914,0.8714533217115397
uberddr3,1000,0.019925993427663213,0.2136432570899782,0.019925993425937507,0.21364325708825246,0.1655688048658256,0.5856918946837363,0.16550921352277737,0.5856321976709029,0.2617274388220489,0.6401456377730823,0.2610492781849324,0.6394551023273172
verilog_axi,978,0.00011776818576086357,0.0967795760455649,0.00011776818576086357,0.0967795760455649,0.045797712278899796,0.3353296945314186,0.045797712278899796,0.3353296945314186,0.16433751246228354,0.5400591031881066,0.16433751246228354,0.5400591031881066
viterbi,201,0.7883523685725145,0.7903830902133716,0.7883523685725131,0.7903830902133708,0.6775531149863144,0.7158116582839859,0.6773699596118821,0.7156791128655301,0.6627044048358827,0.753031850135495,0.6478328601990689,0.7403713123361451
wb_dma,526,0.9665753291102797,0.9973515197573031,0.9665753291102797,0.9973515197573031,0.8275771519653661,0.9180922090067558,0.8275758529911266,0.9180909100325167,0.7855669594610678,0.8492796325581834,0.785431272334493,0.8491439454316088
MEAN,463,0.5282551173076304,0.6266681689362069,0.5282551864852035,0.6264861124877574,0.5718181565855701,0.7294439788907329,0.5721566927636883,0.7283460572405178,0.5885293286291328,0.7811798534593999,0.5887727568561046,0.7800950805932657
