# v2 corrected-synth union dump
# design	verilog_axi
# n_union	151  n_kept	151  n_dropped	0
# betas	input=+0.226 output=-0.323 internal=-0.050 both=-0.047 (derived)
rank_synth_corr	rank_route	rank_delta	slack_synth_ns	beta_ns	slack_synth_corr_ns	slack_route_ns	port_cat	end_pin	async_endpoint	kept	in_synth_topk	in_route_topk	start	end	start_full	end_full
1	9	8	-0.3601	-0.0500	-0.4101	-0.2990	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].b_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
2	1	-1	-0.3419	-0.0500	-0.3919	-0.3471	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
3	12	9	-0.0598	-0.3230	-0.3828	-0.2528	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].w_select_reg[J]	sI_axi_wready	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[3].w_select_reg[0]$_DFFE_PP_/Q	s04_axi_wready
4	14	10	-0.6004	0.2260	-0.3744	-0.2290	input_only	D	N	Y	Y	Y	sI_axi_araddr[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	s05_axi_araddr[28]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
5	16	11	-0.5722	0.2260	-0.3462	-0.2149	input_only	D	N	Y	Y	Y	sI_axi_araddr[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	s05_axi_araddr[28]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
6	22	16	-0.5705	0.2260	-0.3445	-0.1788	input_only	D	N	Y	Y	Y	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	s00_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
7	26	19	-0.5530	0.2260	-0.3270	-0.1651	input_only	D	N	Y	Y	Y	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	s07_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
8	15	7	-0.2737	-0.0500	-0.3237	-0.2246	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_id_reg[1][5]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
9	24	15	-0.2725	-0.0500	-0.3225	-0.1702	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.s_axi_aready_reg	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.s_axi_aready_reg$_SDFF_PP0_/QN	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
10	30	20	-0.2575	-0.0500	-0.3075	-0.1561	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_id_reg[1][3]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
