# start	end	slack_synth_ns	slack_route_ns
lane[I]	dq_target_index[I][J]	-0.412100	-0.120198
lane[I]	dqs_target_index[I]	-0.314400	-0.043751
lane[I]	added_read_pipe[I]	-0.283900	-0.095976
i_wb_addr[I]	stageI_next_row[J]	-0.274600	0.165446
lane[I]	o_phy_idelay_dqs_cntvaluein[I]	-0.243400	-0.317534
lane[I]	o_phy_odelay_data_cntvaluein[I]	-0.231600	-0.323461
lane[I]	o_phy_odelay_dqs_cntvaluein[I]	-0.231600	-0.317836
i_phy_iserdes_bitslip_reference[I]	sample_clk_repeat[I]	-0.205900	0.104266
lane[I]	o_phy_idelay_data_cntvaluein[I]	-0.203900	-0.320891
lane[I]	sample_clk_repeat[I]	-0.201300	-0.143616
lane[I]	data_start_index[I][J]	-0.187200	-0.217022
stageI_pending	stageI_do_wr_or_rd	-0.182300	-0.211226
stageI_bank[J]	o_wb_stall_int_q	-0.179600	-0.243453
stageI_do_act	stageI_do_wr_or_rd	-0.177700	-0.238022
stageI_next_bank[J]	o_wb_stall_int_q	-0.177600	-0.236405
lane[I]	idelay_dqs_cntvaluein[I][J]	-0.175900	-0.069534
lane[I]	write_pattern_lane[I]	-0.173600	-0.199583
stageI_do_pre	stageI_do_wr_or_rd	-0.173300	-0.223674
stageI_next_bank[J]	stageI_do_wr_or_rd	-0.170100	-0.241936
stageI_bank[J]	stageI_do_wr_or_rd	-0.169500	-0.254284
stageI_do_act	o_wb_stall_int_q	-0.168300	-0.225514
lane[I]	state_calibrate[I]	-0.168200	-0.193312
i_phy_iserdes_bitslip_reference[I]	state_calibrate[I]	-0.166100	0.086842
stageI_pending	o_wb_stall_int_q	-0.164100	-0.205695
stageI_do_wr_or_rd	stageI_do_wr_or_rd	-0.160100	-0.150951
stageI_pending	stageI_do_pre	-0.159000	-0.178566
stageI_do_rd	stageI_do_wr_or_rd	-0.157700	-0.163433
stageI_do_pre	o_wb_stall_int_q	-0.155800	-0.211166
stageI_do_act	stageI_do_pre	-0.154300	-0.205362
data_start_index[I][J]	data_start_index[I][J]	-0.152700	-0.090076
stageI_do_pre	stageI_do_pre	-0.150000	-0.191014
read_lane_data_shifted[I]	data_start_index[I][J]	-0.149400	-0.126906
stageI_next_bank[J]	stageI_do_pre	-0.146800	-0.209276
lane[I]	odelay_data_cntvaluein[I][J]	-0.146700	-0.068104
