# start	end	slack_synth_ns	slack_route_ns
uI.state[J]	wbIs_data_o[J]	-0.209800	-0.417013
uI.uJ.pri_outK[L]	wbIs_data_o[J]	-0.113400	-0.347208
wbI_addr_i[J]	wbIm_data_o[J]	-0.097200	-0.090853
wbI_addr_i[J]	wbI_addr_o[J]	-0.097200	-0.093847
wbI_addr_i[J]	wbI_stb_o	-0.097200	-0.090337
wbI_addr_i[J]	wbI_we_o	-0.097200	-0.085897
wbI_addr_i[J]	wbI_cyc_o	-0.090100	-0.070170
wbI_addr_i[J]	wbI_ack_o	-0.086200	-0.077027
uI.uJ.state[K]	wbIs_data_o[J]	-0.074300	-0.328639
wbI_addr_i[J]	wbI_err_o	-0.073200	-0.078574
wbI_addr_i[J]	wbI_rty_o	-0.073200	-0.066884
wbI_addr_i[J]	wbIs_data_o[J]	-0.070400	-0.086807
wbI_cyc_i	wbIm_data_o[J]	-0.047100	-0.043936
wbI_cyc_i	wbI_addr_o[J]	-0.047100	-0.054613
wbI_cyc_i	wbI_stb_o	-0.047100	-0.017740
wbI_cyc_i	wbI_we_o	-0.047100	-0.018301
uI.ch_sel_r[J]	wbIs_data_o[J]	-0.033300	-0.304846
wbI_cyc_i	wbI_ack_o	-0.029800	-0.031154
wbI_addr_i[J]	wbI_sel_o[J]	-0.023300	-0.071292
wbI_cyc_i	wbI_err_o	-0.010500	-0.015986
wbI_cyc_i	wbI_rty_o	-0.010500	0.014654
wbI_cyc_i	wbI_cyc_o	-0.005500	0.011323
wbI_ack_i	wbI_ack_o	0.011200	0.067400
wbI_cyc_i	wbIs_data_o[J]	0.023200	-0.033469
wbI_cyc_i	wbI_sel_o[J]	0.059500	-0.056488
uI.ndr_r[J]	wbIs_data_o[J]	0.074400	-0.264467
wbI_ack_i	uI.mastJ_adr[K]	0.113500	0.320996
wbI_ack_i	uI.uJ.mast_cyc	0.157900	0.413764
wbI_stb_i	wbI_stb_o	0.165400	0.097557
wbI_we_i	wbI_we_o	0.165400	0.094752
wbIs_data_i[J]	wbIm_data_o[J]	0.165400	0.100748
wbIm_data_i[J]	wbIs_data_o[J]	0.165800	0.085710
wbI_ack_i	uI.uJ.mast_stb	0.170600	0.432322
wbI_ack_i	uI.adrJ_cnt[K]	0.174900	0.388646
wbI_sel_i[J]	wbI_sel_o[J]	0.177300	0.116440
uI.state[J]	uI.adrJ_cnt[K]	0.180000	-0.056561
uI.state[J]	uI.tsz_cnt[J]	0.180000	-0.071385
uI.state[J]	uI.chunk_cnt[J]	0.188500	0.020289
uI.state[J]	uI.mastJ_adr[K]	0.189900	-0.052934
wbI_err_i	wbI_err_o	0.193000	0.115007
wbI_rty_i	wbI_rty_o	0.193000	0.140621
uI.csr_r[J]	wbIs_data_o[J]	0.195300	-0.196308
wbI_ack_i	uI.chunk_dec	0.196700	0.457415
uI.state[J]	uI.chunk_J	0.205600	-0.024436
uI.state[J]	uI.state[J]	0.205700	0.052987
uI.state[J]	uI.uJ.ch_csr_r[K]	0.216500	0.073708
uI.state[J]	uI.uJ.ch_eol	0.216500	0.110200
uI.state[J]	uI.uJ.mast_stb	0.218900	0.077773
wbI_ack_i	uI.read_r	0.224500	0.487289
uI.state[J]	uI.uJ.ptr_valid	0.227200	0.080504
uI.state[J]	uI.uJ.pointer_r[K]	0.229200	0.030952
uI.state[J]	uI.uJ.ch_chk_sz_r[K]	0.232900	-0.003034
uI.state[J]	uI.uJ.pointer_sr[K]	0.233600	0.073842
uI.state[J]	uI.uJ.ch_adrK_s[L]	0.235300	-0.063337
uI.state[J]	uI.uJ.ch_tot_sz_r[K]	0.235600	-0.015069
uI.state[J]	uI.uJ.ch_txsz_s[K]	0.236000	-0.008735
