# start	end	slack_synth_ns	slack_route_ns
systolic.data_queue[I][J]	systolic.ph_reg[I][J]	0.035600	0.047303
systolic.weight_queue[I][J]	systolic.ph_reg[I][J]	0.041500	0.044178
systolic.data_queue[I][J]	systolic.pl_reg[I][J]	0.067900	0.045268
systolic.weight_queue[I][J]	systolic.pl_reg[I][J]	0.073600	0.031843
srstn	write_out.sram_wdata_c[I]	0.102100	0.362010
srstn	write_out.sram_wdata_a[I]	0.115100	0.366893
srstn	systolic.matrix_mul_ID[J][K]	0.116100	0.342857
srstn	_I_	0.123900	0.352533
srstn	systolic.mul_outcome[I]	0.124200	0.370421
srstn	systolic.op_reg[I][J]	0.129300	0.378304
srstn	systolic.product_reg[I][J]	0.129300	0.354866
srstn	write_out.data_set_d[I]	0.138700	0.451272
srstn	systolic_controll.addr_serial_num[I]	0.150600	0.422987
systolic_controll.matrix_index[I]	systolic.mul_outcome[I]	0.164100	0.020733
systolic.matrix_mul_ID[J][K]	systolic.matrix_mul_ID[J][K]	0.174800	0.118525
systolic.product_reg[I][J]	systolic.matrix_mul_ID[J][K]	0.175900	0.123451
srstn	systolic_controll.state[I]	0.180900	0.440563
srstn	systolic_controll.tpu_done	0.203400	0.653937
srstn	write_out.matrix_index_d[I]	0.203600	0.430470
srstn	systolic.weight_queue[I][J]	0.214500	0.392080
srstn	systolic.pl_reg[I][J]	0.214600	0.402496
write_out.matrix_index_d[I]	_I_	0.219400	0.118430
srstn	systolic.data_queue[I][J]	0.222500	0.392722
srstn	systolic.ph_reg[I][J]	0.254600	0.405948
systolic.mul_outcome[I]	write_out.sram_wdata_c[I]	0.256900	0.094239
write_out.matrix_index_d[I]	write_out.sram_wdata_c[I]	0.257500	0.198844
tpu_start	systolic_controll.addr_serial_num[I]	0.265000	0.508907
systolic_controll.cycle_num[I]	systolic.op_reg_a[I][J]	0.268900	0.199604
systolic.mul_outcome[I]	_I_	0.269800	0.100721
srstn	systolic_controll.cycle_num[I]	0.270700	0.493453
systolic.mul_outcome[I]	write_out.sram_wdata_a[I]	0.273800	0.102583
srstn	systolic_controll.data_set[I]	0.279000	0.479832
srstn	write_out.sram_write_enable_d	0.279000	0.487853
write_out.matrix_index_d[I]	write_out.sram_wdata_a[I]	0.279200	0.205337
srstn	systolic_controll.tpu_done_pre	0.280800	0.470759
srstn	systolic.op_reg_a[I][J]	0.287200	0.425517
srstn	write_out.sram_waddr_a[I]	0.298000	0.525920
srstn	write_out.sram_waddr_c[I]	0.298800	0.532135
srstn	systolic.op_reg_a[I][J]	0.302700	0.480657
srstn	write_out.sram_write_enable_cI	0.348800	0.590659
srstn	write_out.sram_write_enable_aI	0.348800	0.592961
srstn	systolic_controll.matrix_index[I]	0.365500	0.526991
systolic_controll.cycle_num[I]	systolic.op_reg_a[I][J]	0.374900	0.340561
write_out.data_set_d[I]	_I_	0.385000	0.357540
systolic.ph_reg[I][J]	systolic.product_reg[I][J]	0.395100	0.347878
systolic.pl_reg[I][J]	systolic.product_reg[I][J]	0.396900	0.344889
write_out.data_set_d[I]	write_out.sram_wdata_c[I]	0.402300	0.428768
write_out.sram_write_enable_d	write_out.sram_wdata_c[I]	0.408500	0.387115
write_out.sram_write_enable_d	write_out.sram_wdata_a[I]	0.421400	0.391998
systolic.op_reg[I][J]	systolic.matrix_mul_ID[J][K]	0.424300	0.268092
write_out.data_set_d[I]	write_out.sram_wdata_a[I]	0.426600	0.441427
write_out.sram_write_enable_d	_I_	0.430200	0.377638
write_out.matrix_index_d[I]	write_out.sram_waddr_a[I]	0.430700	0.457670
write_out.matrix_index_d[I]	write_out.sram_waddr_c[I]	0.430700	0.457504
addr_sel.sram_raddr_wI[J]	sram_raddr_wI[J]	0.449100	0.136444
addr_sel.sram_raddr_wI[J]	sram_raddr_dI[J]	0.465700	0.136599
systolic_controll.addr_serial_num[I]	addr_sel.sram_raddr_wI[J]	0.466000	0.466681
systolic_controll.matrix_index[I]	systolic_controll.data_set[I]	0.467200	0.274686
write_out.sram_waddr_a[I]	sram_waddr_a[I]	0.467900	0.120921
_I_	sram_waddr_b[I]	0.467900	0.127145
write_out.sram_waddr_c[I]	sram_waddr_c[I]	0.467900	0.126234
