# start	end	slack_synth_ns	slack_route_ns
pm_normalize_inst.pmax_r[I][J]	pm_normalize_inst.pm_nom_r[I][J]	-0.682700	0.146534
src_rdata_i[I]	bmu_inst_I.bm_r[J]	-0.294600	0.139291
pm_normalize_inst.reg_num_buf_r[I]	pm_normalize_inst.pm_nom_r[I][J]	-0.114700	0.781573
register_num_i[I]	acs_inst_I.pm_r[J]	-0.067100	0.279348
register_num_i[I]	acs_inst_I.survivor_path_r	-0.012000	0.311489
pm_normalize_inst.gmax_r[I][J]	pm_normalize_inst.pm_nom_r[I][J]	0.031100	0.967512
acs_inst_I.pm_r[J]	pm_normalize_inst.pmax_r[I][J]	0.093000	0.054814
bmu_inst_I.bm_r[J]	acs_inst_I.pm_r[J]	0.486900	0.720561
bmu_inst_I.bm_r[J]	acs_inst_I.survivor_path_r	0.555200	0.735628
register_num_i[I]	bmu_inst_I.low_codeword_tmp[J]	0.620500	0.461348
acs_inst_I.pm_r[J]	pm_normalize_inst.gmax_r[I][J]	0.625800	0.560406
polynomialI_i[J]	bmu_inst_I.low_codeword_tmp[J]	0.651300	0.710753
register_num_i[I]	pm_normalize_inst.update_en_buf_r[I]	0.677800	0.777196
infobit_length_i[I]	src_addr_r[I]	0.683500	0.853794
infobit_length_i[I]	src_len_counter_r[I]	0.684000	0.968686
valid_polynomials_i[I]	bmu_inst_I.bm_r[J]	0.690700	0.620197
valid_polynomials_i[I]	bmu_inst_I.low_codeword[J]	0.709900	0.652019
frame_start_i	pm_normalize_inst.pm_nom_r[I][J]	0.726800	0.704221
rst_sync_i	pm_normalize_inst.pm_nom_r[I][J]	0.732300	0.668189
rst_sync_i	bmu_inst_I.low_codeword_tmp[J]	0.733000	0.559383
frame_start_i	pm_normalize_inst.pmax_r[I][J]	0.739900	0.778445
frame_start_i	fetch_src_cnt_r[I]	0.742100	0.712223
rst_sync_i	fetch_src_cnt_r[I]	0.745400	0.679010
rst_sync_i	pm_normalize_inst.pmax_r[I][J]	0.745400	0.742413
frame_start_i	src_len_counter_r[I]	0.748400	0.826404
rst_sync_i	src_len_counter_r[I]	0.751200	0.799036
frame_start_i	pm_normalize_inst.pm_buf_r[I][J]	0.754600	0.744685
frame_start_i	pm_normalize_inst.reg_num_buf_r[I]	0.754600	0.797976
frame_start_i	src_addr_r[I]	0.759600	0.856826
rst_sync_i	pm_normalize_inst.pm_buf_r[I][J]	0.760100	0.708653
rst_sync_i	pm_normalize_inst.reg_num_buf_r[I]	0.760100	0.761944
register_num_i[I]	acs_en_r[I]	0.760200	0.719392
rst_sync_i	src_addr_r[I]	0.761800	0.742167
rst_sync_i	bmu_inst_I.low_codeword[J]	0.767100	0.666691
bmu_inst_I.low_codeword[J]	bmu_inst_I.bm_r[J]	0.780800	0.692143
frame_start_i	dst_addr_r[I]	0.782300	0.903812
frame_start_i	trellis_idx_r[I]	0.785600	0.801193
tail_biting_en_i	pm_normalize_inst.pm_nom_r[I][J]	0.787400	0.843447
rst_sync_i	trellis_idx_r[I]	0.788800	0.778241
rst_sync_i	dst_addr_r[I]	0.791400	0.904260
frame_start_i	acs_en_r[I]	0.795200	0.914228
rst_sync_i	bmu_inst_I.bm_r[J]	0.796400	0.729075
frame_start_i	first_loop_r	0.799400	1.045210
frame_start_i	full_tb_start_r	0.799400	1.043454
frame_start_i	half_tb_start_r	0.799400	1.044728
frame_start_i	state_r[I]	0.799400	0.880477
frame_start_i	bmu_inst_I.ready_r	0.801100	1.042952
rst_sync_i	acs_inst_I.pm_r[J]	0.802600	0.663244
frame_start_i	pm_normalize_inst.update_en_buf_r[I]	0.804100	0.833944
rst_sync_i	first_loop_r	0.804900	1.009178
rst_sync_i	full_tb_start_r	0.804900	1.007422
rst_sync_i	half_tb_start_r	0.804900	1.008696
rst_sync_i	state_r[I]	0.804900	0.857525
rst_sync_i	bmu_inst_I.ready_r	0.806600	1.006920
rst_sync_i	acs_en_r[I]	0.807500	1.035960
rst_sync_i	pm_normalize_inst.update_en_buf_r[I]	0.809500	0.797912
frame_start_i	tb_len_r[I]	0.811300	0.949919
frame_start_i	frame_done_r	0.813300	0.995827
frame_start_i	last_loop_r	0.813300	0.993466
frame_start_i	tb_wr_addr_r[I]	0.813300	0.983634
rst_sync_i	acs_inst_I.survivor_path_r	0.813400	0.745446
rst_sync_i	tb_len_r[I]	0.814100	0.926967
rst_sync_i	pm_normalize_inst.gmax_r[I][J]	0.815900	0.842523
rst_sync_i	frame_done_r	0.816100	0.972875
rst_sync_i	last_loop_r	0.816100	0.970514
rst_sync_i	tb_wr_addr_r[I]	0.816100	0.960682
frame_start_i	byte_idx_r[I]	0.816400	0.984002
rst_sync_i	byte_idx_r[I]	0.821900	0.947970
frame_start_i	flush_all_start_r	0.828000	0.893903
frame_start_i	pm_normalize_inst.en_dI_r	0.828300	0.828464
rst_sync_i	flush_all_start_r	0.831200	0.870951
frame_start_i	pm_normalize_inst.gmax_r[I][J]	0.832000	0.864416
rst_sync_i	pm_normalize_inst.en_dI_r	0.833800	0.792431
rst_sync_i	bmu_inst_I.calc_codeword_en	0.842200	0.742970
tail_biting_en_i	trellis_idx_r[I]	0.844600	1.093073
frame_start_i	dst_wr_r	0.845400	1.014238
frame_start_i	src_rd_r	0.850600	0.961065
rst_sync_i	dst_wr_r	0.850900	0.978206
frame_start_i	busy_r	0.850900	1.227299
rst_sync_i	traceback_ins.tb_addr_r[I]	0.869700	0.980262
acs_inst_I.valid_r	tb_addr_o[I]	0.872500	0.505525
frame_start_i	bmu_inst_I.calc_polyn_en	0.873600	1.104829
rst_sync_i	busy_r	0.875700	1.217853
rst_sync_i	traceback_ins.tb_counter_r[I]	0.875700	0.944592
rst_sync_i	traceback_ins.tb_rd_r	0.876700	1.205143
rst_sync_i	decoding_start_r	0.877000	1.201743
rst_sync_i	acs_inst_I.valid_r	0.877100	0.778027
rst_sync_i	traceback_start_r	0.877100	1.192048
rst_sync_i	src_rd_r	0.881200	0.938113
pm_normalize_inst.pm_nom_r[I][J]	acs_inst_I.pm_r[J]	0.882200	0.805075
rst_sync_i	dst_wr_dI_r	0.897100	1.005546
rst_sync_i	bmu_inst_I.calc_polyn_en	0.904200	1.112222
infobit_length_i[I]	trellis_idx_r[I]	0.920000	1.168613
decoding_length_i[I]	trellis_idx_r[I]	0.920700	1.177292
rst_sync_i	bmu_ready_dI_r	0.931000	1.176685
rst_sync_i	soft_data_valid_r	0.944400	1.000495
pm_normalize_inst.pm_nom_r[I][J]	acs_inst_I.survivor_path_r	0.950200	0.820142
tb_wr_addr_r[I]	tb_addr_o[I]	0.962800	0.671387
traceback_ins.tb_addr_r[I]	tb_addr_o[I]	0.991200	0.680995
rst_sync_i	bmu_inst_I.bm_valid_r	0.997600	1.089353
