# start	end	slack_synth_ns	slack_route_ns
enable	RsDecodeSyndrome.done	-0.015500	0.346939
enable	RsDecodeErasure.powerReg[I]	-0.015300	0.311213
enable	RsDecodePolymul.epsilonReg_I[J]	-0.015300	0.308313
enable	RsDecodeChien.numErrorReg[I]	-0.013300	0.359661
enable	RsDecodeSyndrome.reg_I[J]	-0.011600	0.326401
enable	omegaShiftedReg_I[J]	-0.011200	0.318422
enable	RsDecodeErasure.count[I]	-0.010900	0.329055
enable	RsDecodeChien.epsilonReg_I[J]	-0.007800	0.316599
enable	RsDecodeChien.lambdaReg_I[J]	-0.007800	0.328928
enable	RsDecodeChien.omegaReg_I[J]	-0.007800	0.315660
enable	RsDecodeEuclide.count[I]	-0.005700	0.381613
enable	RsDecodePolymul.sumReg_I[J]	-0.000900	0.333653
enable	RsDecodeDelay.RsDecodeDpRam.mem[I][J]	0.012200	0.305142
enable	RsDecodeChien.denomEIInvReg[J]	0.017300	0.366716
enable	RsDecodeEuclide.omegaInvReg[I]	0.017300	0.392141
enable	RsDecodeChien.denomEIReg[J]	0.018100	0.346289
enable	RsDecodeChien.epsilonOddReg[I]	0.018100	0.339801
enable	RsDecodeChien.lambdaEvenRegI[J]	0.018100	0.354564
enable	RsDecodeChien.lambdaOddRegI[J]	0.018100	0.353548
enable	RsDecodeChien.lambdaSumReg[I]	0.018100	0.341864
enable	RsDecodeChien.numeRegI[J]	0.018100	0.421180
enable	RsDecodeChien.omegaSumReg[I]	0.018100	0.420760
enable	lambdaRegI_J[K]	0.018100	0.334872
enable	RsDecodeEuclide.qNewReg[I]	0.019900	0.382057
enable	RsDecodeEuclide.omegaBkpReg[I]	0.019900	0.398760
enable	RsDecodeEuclide.count_le_steps_reg	0.019900	0.381432
enable	degreeLambdaReg[I]	0.020100	0.355680
enable	RsDecodePolymul.count[I]	0.025300	0.464215
enable	RsDecodeSyndrome.count[I]	0.025400	0.340070
enable	RsDecodeChien.count[I]	0.027100	0.352336
enable	doneReg[I]	0.027200	0.403549
enable	startReg[I]	0.027200	0.425767
enable	RsDecodeDelay.writePointer[I]	0.027500	0.360641
enable	doneShiftReg	0.029100	0.368789
enable	RsDecodeEuclide.phase[I]	0.031800	0.381020
enable	failErasureRegI	0.040500	0.347054
enable	numErrorLambdaReg[I]	0.040500	0.399677
enable	RsDecodeErasure.epsilonReg_I[J]	0.043100	0.320002
erasureIn	RsDecodeSyndrome.reg_I[J]	0.045900	0.348381
enable	RsDecodeChien.numErrorRegI[J]	0.047200	0.359661
enable	degreeEpsilonRegI[J]	0.048600	0.346541
enable	degreeErrorReg	0.049200	0.407057
enable	RsDecodeDelay.readPointer[I]	0.050900	0.356125
erasureIn	RsDecodeDelay.RsDecodeDpRam.mem[I][J]	0.053400	0.357164
enable	RsDecodeEuclide.lambdaBkp_I[J]	0.057100	0.345466
enable	doneShift	0.059200	0.399668
enable	RsDecodeEuclide.lambdaInner_I[J]	0.062600	0.338077
RsDecodeDelay.RsDecodeDpRam.rRdAddr[I]	RsDecodeDelay.RsDecodeDpRam.q[I]	0.063300	-0.017705
enable	RsDecodeErasure.erasureCount[I]	0.064400	0.328375
RsDecodeSyndrome.done	RsDecodePolymul.sumReg_I[J]	0.065200	-0.004576
enable	RsDecodeEuclide.lambdaXorReg_I[J]	0.068700	0.335184
enable	epsilonRegI_J[K]	0.069400	0.321526
enable	RsDecodeEuclide.omegaInner_I[J]	0.070300	0.334856
enable	numErasureReg[I]	0.072800	0.443388
enable	numErrorReg[I]	0.072800	0.441345
RsDecodeEuclide.qNewReg[I]	RsDecodeEuclide.omegaInner_I[J]	0.077500	0.009899
RsDecodeChien.lambdaReg_I[J]	RsDecodeChien.numErrorRegI[J]	0.077500	0.022891
enable	RsDecodeEuclide.omegaBkp_I[J]	0.081600	0.328295
enable	OutputValidReg	0.082300	0.437050
enable	RsDecodeChien.epsilonSumReg[I]	0.082700	0.388317
erasureIn	RsDecodeErasure.erasureCount[I]	0.084900	0.321785
startPls	RsDecodeErasure.erasureCount[I]	0.086500	0.364502
startPls	RsDecodeSyndrome.reg_I[J]	0.088100	0.338390
RsDecodeEuclide.omegaInner_I[J]	RsDecodeEuclide.offset[I]	0.088400	0.074215
enable	RsDecodeEuclide.numShiftedReg[I]	0.091800	0.377652
RsDecodeErasure.epsilonReg_I[J]	RsDecodePolymul.sumReg_I[J]	0.091900	0.058592
enable	omegaReg_I[J]	0.094900	0.334916
enable	numShiftedReg[I]	0.094900	0.333178
enable	RsDecodePolymul.syndromeReg_I[J]	0.109300	0.348784
RsDecodeEuclide.qNewReg[I]	RsDecodeEuclide.lambdaInner_I[J]	0.112600	0.002673
RsDecodePolymul.count[I]	RsDecodeEuclide.lambdaBkp_I[J]	0.112800	0.131471
