# start	end	slack_synth_ns	slack_route_ns
uI.mul_b[J]	uI.product_g[J]	-0.532200	-0.368990
uI.mul_a[J]	uI.product_g[J]	-0.493300	-0.373667
uI.mul_a[J]	uI.product_j[J]	-0.411400	-0.260702
uI.mantissa_a[J]	uI.pre_a_hi[J]	-0.397600	-0.279278
uI.mantissa_b[J]	uI.pre_a_hi[J]	-0.393200	-0.260862
uI.mantissa_a[J]	uI.pre_b_hi[J]	-0.387600	-0.284451
uI.mantissa_b[J]	uI.pre_b_hi[J]	-0.383100	-0.268442
uI.mantissa_a[J]	uI.pre_a_lo[J]	-0.378700	-0.248153
uI.mantissa_a[J]	uI.pre_b_lo[J]	-0.375800	-0.243835
uI.mantissa_b[J]	uI.pre_a_lo[J]	-0.374300	-0.261669
uI.mul_b[J]	uI.product_j[J]	-0.372100	-0.313048
uI.mantissa_a[J]	uI.pre_c_hi[J]	-0.371700	-0.297623
uI.mantissa_b[J]	uI.pre_b_lo[J]	-0.371400	-0.246979
uI.mantissa_b[J]	uI.pre_c_hi[J]	-0.363300	-0.257372
uI.mantissa_a[J]	uI.pre_c_lo[J]	-0.319700	-0.251356
uI.mantissa_b[J]	uI.pre_c_lo[J]	-0.317500	-0.245066
uI.mul_a[J]	uI.product_i[J]	-0.313000	-0.242721
uI.mul_a[J]	uI.product_h[J]	-0.298400	-0.246994
uI.mantissa_a[J]	uI.pre_e_hi[J]	-0.283200	-0.185898
uI.mantissa_a[J]	uI.pre_e_lo[J]	-0.283200	-0.205919
uI.mantissa_b[J]	uI.pre_e_hi[J]	-0.282200	-0.235565
uI.mantissa_b[J]	uI.pre_e_lo[J]	-0.282200	-0.247182
uI.mul_b[J]	uI.product_i[J]	-0.275600	-0.173617
uI.mul_b[J]	uI.product_h[J]	-0.255500	-0.213825
uI.mantissa_a[J]	uI.pre_f_lo[J]	-0.240500	-0.194275
uI.mantissa_b[J]	uI.pre_f_lo[J]	-0.233300	-0.218182
uI.mantissa_a[J]	uI.pre_f_hi[J]	-0.233200	-0.176297
uI.mantissa_b[J]	uI.pre_f_hi[J]	-0.225900	-0.215203
uI.divisor_b[J]	uI.divisor_shift_J[K]	0.114500	0.079396
uI.exponent_J[K]	uI.product_J[K]	0.129400	0.149489
uI.dividend_a[J]	uI.dividend_shift_J[K]	0.156200	0.134462
uI.small_shift_J[K]	uI.sum[J]	0.163100	0.106602
uI.large_add[J]	uI.sum[J]	0.164500	0.106156
uI.diff[J]	uI.diff_shift_J[K]	0.170900	0.129865
rst	uI.small_shift[J]	0.184500	0.468053
rst	uI.exponent_diff[J]	0.195300	0.396296
rst	uI.sum[J]	0.195300	0.465090
