# start	end	slack_synth_ns	slack_route_ns
address[I]	read_data[I]	-0.269000	-0.190755
core.keymem.prev_keyI_reg[J]	core.keymem.key_mem[I][J]	-0.206700	-0.217433
core.dec_block.sword_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.193900	-0.221082
core.enc_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.174900	-0.207556
encdec_reg	core.dec_block.block_wI_reg[J]	-0.170700	-0.220251
core.enc_block.sword_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.159800	-0.213611
core.dec_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.157800	-0.208319
core.dec_block.block_wI_reg[J]	core.dec_block.block_wI_reg[J]	-0.155900	-0.129325
core.keymem.prev_keyI_reg[J]	core.keymem.prev_keyI_reg[J]	-0.144900	-0.206168
core.dec_block.dec_ctrl_reg[I]	core.dec_block.block_wI_reg[J]	-0.141100	-0.156488
core.enc_block.block_wI_reg[J]	core.enc_block.block_wI_reg[J]	-0.109200	-0.113311
core.enc_block.enc_ctrl_reg[I]	core.enc_block.block_wI_reg[J]	-0.107300	-0.085923
we	read_data[I]	-0.050600	-0.075178
cs	read_data[I]	-0.035700	-0.058576
core.keymem.key_mem[I][J]	core.dec_block.block_wI_reg[J]	-0.011100	-0.079353
address[I]	block_reg[I][J]	-0.004600	0.201732
core.enc_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	0.000500	-0.088677
encdec_reg	read_data[I]	0.000700	-0.097972
address[I]	key_reg[I][J]	0.060500	0.189629
keylen_reg	read_data[I]	0.067400	0.011166
encdec_reg	core.enc_block.block_wI_reg[J]	0.070700	-0.083804
core.keymem.round_ctr_reg[I]	core.keymem.key_mem[I][J]	0.071000	0.052754
core.dec_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	0.077200	-0.046818
keylen_reg	core.enc_block.block_wI_reg[J]	0.117000	0.076835
core.keymem.round_ctr_reg[I]	core.keymem.prev_keyI_reg[J]	0.123400	0.048343
we	key_reg[I][J]	0.131000	0.319813
cs	key_reg[I][J]	0.133400	0.319369
core.keymem.rcon_reg[I]	core.keymem.key_mem[I][J]	0.168000	0.165855
address[I]	encdec_reg	0.187800	0.198882
address[I]	keylen_reg	0.187800	0.199288
core.enc_block.enc_ctrl_reg[I]	core.enc_block.enc_ctrl_reg[I]	0.195900	0.450015
keylen_reg	core.keymem.key_mem[I][J]	0.211500	0.156941
we	block_reg[I][J]	0.213000	0.364124
cs	block_reg[I][J]	0.214300	0.362552
encdec_reg	core.aes_core_ctrl_reg[I]	0.244400	0.280288
keylen_reg	core.keymem.prev_keyI_reg[J]	0.245300	0.160323
address[I]	init_reg	0.248400	0.377440
address[I]	next_reg	0.248400	0.376918
core.keymem.round_ctr_reg[I]	core.keymem.rcon_reg[I]	0.250000	0.176285
encdec_reg	result_reg[I]	0.259500	0.012895
result_reg[I]	read_data[I]	0.260300	-0.033783
core.keymem.rcon_reg[I]	core.keymem.prev_keyI_reg[J]	0.261700	0.210623
encdec_reg	core.enc_block.enc_ctrl_reg[I]	0.264400	0.299673
next_reg	read_data[I]	0.270400	-0.010733
core.keymem.key_mem_ctrl_reg[I]	core.keymem.key_mem[I][J]	0.276000	0.096796
init_reg	read_data[I]	0.279000	0.011170
core.keymem.key_mem[I][J]	core.enc_block.block_wI_reg[J]	0.287700	0.145791
encdec_reg	encdec_reg	0.289000	0.449592
encdec_reg	core.enc_block.round_ctr_reg[I]	0.300600	0.285772
encdec_reg	core.ready_reg	0.300900	0.339594
encdec_reg	core.enc_block.ready_reg	0.310100	0.333521
valid_reg	read_data[I]	0.311300	0.024043
we	encdec_reg	0.315400	0.453012
we	keylen_reg	0.315400	0.453418
ready_reg	read_data[I]	0.316000	0.030011
cs	encdec_reg	0.316700	0.451439
cs	keylen_reg	0.316700	0.451845
encdec_reg	core.dec_block.round_ctr_reg[I]	0.321400	0.299398
encdec_reg	core.result_valid_reg	0.332100	0.375218
core.dec_block.sword_ctr_reg[I]	core.dec_block.round_ctr_reg[I]	0.344300	0.376549
core.keymem.key_mem_ctrl_reg[I]	core.keymem.prev_keyI_reg[J]	0.349600	0.141726
write_data[I]	key_reg[I][J]	0.352000	0.495848
write_data[I]	encdec_reg	0.352200	0.572931
write_data[I]	keylen_reg	0.352200	0.548541
write_data[I]	block_reg[I][J]	0.352300	0.490345
keylen_reg	core.keymem.rcon_reg[I]	0.354500	0.202894
encdec_reg	core.dec_block.ready_reg	0.362700	0.398760
keylen_reg	keylen_reg	0.364600	0.488416
keylen_reg	core.dec_block.round_ctr_reg[I]	0.364600	0.486305
core.keymem.round_ctr_reg[I]	core.keymem.round_ctr_reg[I]	0.377000	0.463179
write_data[I]	init_reg	0.381700	0.585954
write_data[I]	next_reg	0.381700	0.557799
core.dec_block.round_ctr_reg[I]	core.dec_block.round_ctr_reg[I]	0.384500	0.387435
core.keymem.key_mem_ctrl_reg[I]	core.keymem.rcon_reg[I]	0.386000	0.347159
we	init_reg	0.388900	0.537975
we	next_reg	0.388900	0.537452
cs	init_reg	0.390200	0.536402
cs	next_reg	0.390200	0.535880
core.enc_block.round_ctr_reg[I]	core.enc_block.enc_ctrl_reg[I]	0.398500	0.247196
core.keymem.key_mem_ctrl_reg[I]	core.keymem.round_ctr_reg[I]	0.398500	0.435239
core.dec_block.sword_ctr_reg[I]	core.dec_block.dec_ctrl_reg[I]	0.408200	0.422389
key_reg[I][J]	core.keymem.key_mem[I][J]	0.408500	0.421539
keylen_reg	core.keymem.key_mem_ctrl_reg[I]	0.423800	0.311591
core.dec_block.dec_ctrl_reg[I]	core.dec_block.round_ctr_reg[I]	0.424300	0.369357
core.keymem.round_ctr_reg[I]	core.keymem.key_mem_ctrl_reg[I]	0.427700	0.271356
core.enc_block.round_ctr_reg[I]	core.enc_block.ready_reg	0.429400	0.292794
encdec_reg	core.dec_block.dec_ctrl_reg[I]	0.431200	0.434373
core.enc_block.sword_ctr_reg[I]	core.enc_block.enc_ctrl_reg[I]	0.431400	0.399434
core.keymem.key_mem_ctrl_reg[I]	core.keymem.key_mem_ctrl_reg[I]	0.445500	0.275739
block_reg[I][J]	core.dec_block.block_wI_reg[J]	0.455300	0.393019
core.enc_block.round_ctr_reg[I]	core.enc_block.round_ctr_reg[I]	0.455500	0.334131
next_reg	core.dec_block.round_ctr_reg[I]	0.476000	0.433509
core.dec_block.dec_ctrl_reg[I]	core.dec_block.ready_reg	0.500000	0.462874
key_reg[I][J]	core.keymem.prev_keyI_reg[J]	0.505000	0.453200
block_reg[I][J]	core.enc_block.block_wI_reg[J]	0.508800	0.439786
next_reg	core.enc_block.round_ctr_reg[I]	0.513500	0.442175
keylen_reg	core.enc_block.enc_ctrl_reg[I]	0.515000	0.412708
next_reg	core.dec_block.ready_reg	0.517300	0.532870
core.enc_block.ready_reg	core.aes_core_ctrl_reg[I]	0.519300	0.498473
core.dec_block.ready_reg	core.aes_core_ctrl_reg[I]	0.519500	0.497119
