# start	end	slack_synth_ns	slack_route_ns
address[I]	read_data[I]	-0.212400	-0.208362
core.e_reg[I]	core.e_reg[I]	-0.162400	-0.025634
address[I]	error	-0.161700	-0.027714
core.e_reg[I]	core.a_reg[I]	-0.133700	-0.032376
core.f_reg[I]	core.e_reg[I]	-0.121900	0.005453
core.g_reg[I]	core.e_reg[I]	-0.117400	-0.003353
core.f_reg[I]	core.a_reg[I]	-0.093100	-0.001289
core.g_reg[I]	core.a_reg[I]	-0.088600	-0.010095
core.w_mem_inst.w_next_reg[I]	core.e_reg[I]	-0.005900	0.052935
core.w_mem_inst.w_next_reg[I]	core.a_reg[I]	0.022800	0.046193
we	read_data[I]	0.085000	-0.001496
core.hk_reg[I]	core.e_reg[I]	0.094600	0.156640
cs	read_data[I]	0.103000	-0.001978
core.hk_reg[I]	core.a_reg[I]	0.123400	0.149899
we	error	0.256200	0.178074
cs	error	0.271100	0.221336
core.round_ctr_reg[I]	core.hk_reg[I]	0.311300	0.126518
address[I]	block_reg[I][J]	0.342400	0.442318
core.work_factor_ctr_reg[I]	core.hk_reg[I]	0.387200	0.182899
address[I]	work_factor_num_reg[I]	0.393900	0.666314
work_factor_num_reg[I]	core.hk_reg[I]	0.400300	0.194417
address[I]	work_factor_reg	0.415100	0.732082
address[I]	mode_reg[I]	0.415500	0.710271
address[I]	init_reg	0.440900	0.765904
address[I]	next_reg	0.440900	0.764888
core.shaI_ctrl_reg[J]	core.hk_reg[I]	0.476600	0.196158
core.w_mem_inst.w_mem[I][J]	core.w_mem_inst.w_next_reg[I]	0.500500	0.231382
core.w_mem_inst.w_mem[I][J]	core.w_mem_inst.w_mem[I][J]	0.536200	0.270864
digest_reg[I]	read_data[I]	0.571000	0.190978
init_reg	core.hk_reg[I]	0.582800	0.383712
next_reg	core.hk_reg[I]	0.589500	0.436423
core.a_reg[I]	core.a_reg[I]	0.589600	0.514894
mode_reg[I]	core.hk_reg[I]	0.596400	0.419632
work_factor_reg	core.hk_reg[I]	0.600600	0.427557
block_reg[I][J]	read_data[I]	0.611100	0.193192
we	block_reg[I][J]	0.622500	0.719568
cs	block_reg[I][J]	0.630500	0.764811
core.c_reg[I]	core.a_reg[I]	0.659600	0.591931
core.b_reg[I]	core.a_reg[I]	0.662000	0.603045
we	work_factor_reg	0.699400	0.981968
we	mode_reg[I]	0.699800	0.960158
cs	work_factor_reg	0.711800	0.970254
cs	mode_reg[I]	0.712100	0.948443
we	init_reg	0.725200	1.015791
we	next_reg	0.725200	1.014774
cs	init_reg	0.737600	1.004076
cs	next_reg	0.737600	1.003059
we	work_factor_num_reg[I]	0.754000	0.952985
cs	work_factor_num_reg[I]	0.759000	0.991999
work_factor_num_reg[I]	read_data[I]	0.759700	0.412736
work_factor_reg	read_data[I]	0.770900	0.447930
core.HI_reg[J]	core.hk_reg[I]	0.774800	0.657398
mode_reg[I]	read_data[I]	0.776600	0.343577
next_reg	read_data[I]	0.794700	0.454482
digest_valid_reg	read_data[I]	0.796300	0.456848
init_reg	read_data[I]	0.796800	0.426731
ready_reg	read_data[I]	0.803400	0.449954
write_data[I]	block_reg[I][J]	0.805900	0.877317
write_data[I]	mode_reg[I]	0.806300	1.042795
core.d_reg[I]	core.e_reg[I]	0.814900	0.827072
core.g_reg[I]	core.hk_reg[I]	0.822600	0.658821
write_data[I]	init_reg	0.835600	1.090083
write_data[I]	next_reg	0.835600	1.096504
core.d_reg[I]	core.HI_reg[J]	0.845900	0.759421
core.h_reg[I]	core.HI_reg[J]	0.847500	0.728743
core.g_reg[I]	core.HI_reg[J]	0.850600	0.684818
core.HI_reg[J]	core.HI_reg[J]	0.851400	0.725655
core.c_reg[I]	core.HI_reg[J]	0.854700	0.749023
write_data[I]	work_factor_reg	0.861700	1.040030
write_data[I]	work_factor_num_reg[I]	0.862100	0.997590
core.b_reg[I]	core.HI_reg[J]	0.866300	0.727520
core.f_reg[I]	core.HI_reg[J]	0.870400	0.731355
core.w_mem_inst.w_ctr_reg[I]	core.w_mem_inst.w_next_reg[I]	0.875600	0.596096
core.e_reg[I]	core.HI_reg[J]	0.882900	0.653440
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_mem[I][J]	0.887600	0.274203
work_factor_num_reg[I]	core.w_mem_inst.w_mem[I][J]	0.899500	0.316911
core.work_factor_ctr_reg[I]	core.e_reg[I]	0.906400	0.397171
core.work_factor_ctr_reg[I]	core.g_reg[I]	0.906400	0.519330
core.work_factor_ctr_reg[I]	core.a_reg[I]	0.908000	0.371896
core.work_factor_ctr_reg[I]	core.b_reg[I]	0.908000	0.387207
core.work_factor_ctr_reg[I]	core.c_reg[I]	0.908000	0.413413
core.work_factor_ctr_reg[I]	core.d_reg[I]	0.908000	0.419606
core.work_factor_ctr_reg[I]	core.f_reg[I]	0.908000	0.396962
core.a_reg[I]	core.HI_reg[J]	0.909700	0.753233
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_next_reg[I]	0.912900	0.573241
work_factor_num_reg[I]	core.e_reg[I]	0.918400	0.408689
work_factor_num_reg[I]	core.g_reg[I]	0.918400	0.530848
work_factor_num_reg[I]	core.a_reg[I]	0.920000	0.383414
work_factor_num_reg[I]	core.b_reg[I]	0.920000	0.398725
work_factor_num_reg[I]	core.c_reg[I]	0.920000	0.424931
work_factor_num_reg[I]	core.d_reg[I]	0.920000	0.431124
work_factor_num_reg[I]	core.f_reg[I]	0.920000	0.408480
core.work_factor_ctr_reg[I]	core.h_reg[I]	0.927600	0.567325
core.work_factor_ctr_reg[I]	core.round_ctr_reg[I]	0.928400	0.584865
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_ctr_reg[I]	0.929200	0.662946
work_factor_num_reg[I]	core.w_mem_inst.w_next_reg[I]	0.931400	0.602390
core.work_factor_ctr_reg[I]	core.HI_reg[J]	0.935700	0.639288
work_factor_num_reg[I]	core.HI_reg[J]	0.947700	0.650806
work_factor_num_reg[I]	core.round_ctr_reg[I]	0.948000	0.596383
work_factor_num_reg[I]	core.w_mem_inst.w_ctr_reg[I]	0.950900	0.674464
