# start	end	slack_synth_ns	slack_route_ns
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.din_r[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_hi[K]	-0.843600	-0.199184
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.din_r[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_lo[K]	-0.343200	-0.202605
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.coef_r[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_lo[K]	-0.228300	-0.103149
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.coef_r[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_hi[K]	-0.184800	-0.119267
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.din_r[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.din_r[K]	-0.010200	0.466568
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_hi[K]	0.063600	0.324888
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_lo[K]	0.063600	0.338988
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	0.063600	0.324677
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coef[K]	0.068900	0.339229
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.072100	0.337738
ena	rle.rzI.deno	0.072800	0.417099
ena	qnr.divider.spipe[I]	0.073100	0.425183
ena	qnr.divider.divider.s_pipe[I][J]	0.073100	0.359189
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.dclr_rK	0.073100	0.426635
ena	qnr.divider.divider.d_pipe[I][J]	0.073100	0.362377
ena	qnr.divider.divider.q[I]	0.073100	0.426879
ena	qnr.divider.divider.q_pipe[I][J]	0.073100	0.389113
ena	qnr.divider.id[I]	0.073100	0.360459
ena	qnr.divider.iz[I]	0.073100	0.394582
ena	qnr.divider.q[I]	0.073100	0.433573
ena	rle.rzI.ampo[J]	0.073100	0.418896
ena	rle.rzI.dc	0.073100	0.418225
ena	rle.rzI.dco	0.073100	0.418887
ena	rle.rzI.rleno[J]	0.073100	0.421982
ena	rle.rzI.sizeo[J]	0.073100	0.417974
ena	rle.rle.zero_cnt[I]	0.078900	0.425915
ena	rle.rle.amp[I]	0.082100	0.426698
ena	fdct_zigzag.dct_mod.ddgo	0.094800	0.425514
ena	fdct_zigzag.dct_mod.ddin[I]	0.094800	0.356573
ena	fdct_zigzag.dct_mod.dgo	0.094800	0.427787
ena	fdct_zigzag.dct_mod.go	0.094800	0.427655
ena	qnr.dep[I]	0.094800	0.354428
ena	dfdct_dout[I]	0.095100	0.372204
ena	fdct_zigzag.zigzag_mod.ld_zigzag	0.095100	0.509144
ena	dqnr_doe	0.095100	0.470227
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coefK[L]	0.095100	0.336591
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.din_r[K]	0.095100	0.341742
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.ddinK[L]	0.095100	0.359245
ena	fdct_zigzag.zigzag_mod.sresult[I][J]	0.095100	0.338391
ena	qnr.rq[I]	0.095100	0.424779
ena	fdct_zigzag.dct_mod.dddcnt	0.095200	0.523246
ena	fdct_zigzag.dct_mod.ddddcnt	0.095200	0.520934
ena	fdct_zigzag.dct_mod.dddddcnt	0.095200	0.520498
ena	fdct_zigzag.dct_mod.ddddddcnt	0.095200	0.509861
ena	fdct_zigzag.dct_mod.sample_cnt[I]	0.095300	0.338917
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.ddgoK	0.095600	0.426439
ena	qnr.divider.iz[I]	0.099900	0.376521
ena	fdct_zigzag.dct_mod.douten	0.102000	0.519378
ena	qnr.divider.q[I]	0.103200	0.474119
ena	rle.rle.dcterm	0.103200	0.461030
ena	rle.rle.rlen[I]	0.103200	0.398325
ena	rle.rle.sample_cnt[I]	0.104000	0.392290
ena	qnr.qnt_cnt[I]	0.106200	0.384272
ena	rle.rzI.state	0.107300	0.437132
ena	rle.rle.size[I]	0.110300	0.387299
ena	rle.rle.den	0.115700	0.482995
qnr.divider.divider.d_pipe[I][J]	qnr.divider.divider.s_pipe[I][J]	0.116700	0.085268
ena	rle.rzI.den	0.120700	0.395429
ena	rle.rzI.amp[J]	0.123200	0.418742
ena	rle.rzI.rlen[J]	0.123200	0.418728
ena	rle.rzI.size[J]	0.123200	0.418953
ena	fdct_zigzag.dct_mod.ddcnt	0.123300	0.527884
ena	rle.rle.state	0.125700	0.475492
qnr.divider.divider.s_pipe[I][J]	qnr.divider.divider.s_pipe[I][J]	0.130200	0.110671
ena	rle.rle.amp[I]	0.132400	0.383565
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.138600	0.063395
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.139600	0.064059
qnr.divider.q[I]	qnr.rq[I]	0.151500	0.117826
fdct_zigzag.dct_mod.sample_cnt[I]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coef[K]	0.169600	0.053366
dstrb	fdct_zigzag.dct_mod.sample_cnt[I]	0.175900	0.372369
qnr.divider.id[I]	qnr.divider.divider.s_pipe[I][J]	0.179300	0.139751
qnr.divider.q[I]	qnr.rq[I]	0.195900	0.140561
qnr.divider.iz[I]	qnr.divider.divider.s_pipe[I][J]	0.197900	0.157712
qnr.rq[I]	rle.rle.size[I]	0.220300	0.189684
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_hi[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	0.249500	0.186774
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.pp_lo[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	0.257600	0.196317
fdct_zigzag.dct_mod.sample_cnt[I]	fdct_zigzag.dct_mod.sample_cnt[I]	0.258400	0.184320
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.dclr_rK	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.332800	0.183733
qnr.divider.divider.q[I]	qnr.divider.q[I]	0.362300	0.361486
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.dclr_rK	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.dclr_rK	0.366000	0.310268
qnr.qnt_cnt[I]	qnt_cnt[I]	0.368600	0.031641
qnr.rq[I]	rle.rle.amp[I]	0.374900	0.350511
rle.rzI.deno	douten	0.382200	0.039607
dfdct_dout[I]	qnr.divider.iz[I]	0.382900	0.357576
din[I]	fdct_zigzag.dct_mod.ddin[I]	0.386500	0.661855
dstrb	fdct_zigzag.dct_mod.go	0.386500	0.604375
qnt_val[I]	qnr.divider.id[I]	0.386700	0.673337
qnr.rq[I]	rle.rle.zero_cnt[I]	0.388000	0.378408
qnr.rq[I]	rle.rle.den	0.389700	0.377482
rle.rzI.ampo[J]	amp[I]	0.395900	0.029949
rle.rzI.rleno[J]	rlen[I]	0.395900	0.052030
rle.rzI.sizeo[J]	size[I]	0.395900	0.051491
qnr.rq[I]	rle.rle.amp[I]	0.395900	0.357134
fdct_zigzag.zigzag_mod.ld_zigzag	fdct_zigzag.zigzag_mod.sresult[I][J]	0.397000	0.245949
dfdct_dout[I]	qnr.divider.iz[I]	0.420400	0.378708
qnr.rq[I]	rle.rle.rlen[I]	0.430600	0.419435
qnr.divider.divider.q[I]	qnr.divider.q[I]	0.435300	0.435887
rle.rle.rlen[I]	rle.rzI.den	0.453700	0.439424
rle.rle.size[I]	rle.rzI.den	0.457800	0.436320
rle.rle.size[I]	rle.rzI.deno	0.458300	0.437749
