# start	end	slack_synth_ns	slack_route_ns
mI_addr_i[J]	mI_ack_o	-0.339700	-0.350822
mI_addr_i[J]	mI_err_o	-0.316700	-0.382862
mI_addr_i[J]	mI_rty_o	-0.316700	-0.331856
mI_addr_i[J]	sI_cyc_o	-0.255000	-0.261874
mI_addr_i[J]	mI_data_o[J]	-0.243400	-0.329514
mI_addr_i[J]	sI_stb_o	-0.229200	-0.290814
mI_stb_i	mI_ack_o	-0.217500	-0.285457
mI_stb_i	mI_err_o	-0.196100	-0.266862
mI_stb_i	mI_rty_o	-0.196100	-0.266490
mI_addr_i[J]	sI_addr_o[J]	-0.191600	-0.283067
sI.msel.pri_out[J]	mI_ack_o	-0.180700	-0.400571
sI.msel.arbJ.state[K]	mI_ack_o	-0.178100	-0.380163
sI.msel.pri_out[J]	mI_err_o	-0.157700	-0.381977
sI.msel.pri_out[J]	mI_rty_o	-0.157700	-0.407030
sI.msel.arbJ.state[K]	mI_err_o	-0.155000	-0.361568
sI.msel.arbJ.state[K]	mI_rty_o	-0.155000	-0.396995
sI.msel.pri_out[J]	sI_data_o[J]	-0.152800	-0.366006
sI.msel.pri_out[J]	sI_addr_o[J]	-0.152800	-0.349834
sI.msel.arbJ.state[K]	sI_data_o[J]	-0.146900	-0.347251
sI.msel.arbJ.state[K]	sI_addr_o[J]	-0.146900	-0.330709
mI_stb_i	sI_cyc_o	-0.132800	-0.200254
sI.msel.pri_out[J]	sI_sel_o[J]	-0.116600	-0.338841
sI.msel.arbJ.state[K]	sI_sel_o[J]	-0.110700	-0.321120
sI.msel.pri_out[J]	sI_we_o	-0.099800	-0.320138
sI.msel.pri_out[J]	sI_cyc_o	-0.097400	-0.336430
sI.msel.arbJ.state[K]	sI_cyc_o	-0.094800	-0.318708
sI.msel.arbJ.state[K]	sI_we_o	-0.089500	-0.301832
mI_data_i[J]	sI_data_o[J]	-0.088900	-0.194092
mI_we_i	sI_we_o	-0.078200	-0.147672
mI_sel_i[J]	sI_sel_o[J]	-0.074600	-0.171417
sI_ack_i	mI_ack_o	-0.072000	-0.240369
sI_rty_i	mI_rty_o	-0.061100	-0.255809
sI_data_i[J]	mI_data_o[J]	-0.056000	-0.230568
sI_err_i	mI_err_o	-0.055200	-0.255482
mI_stb_i	sI_stb_o	-0.045100	-0.282742
sI.msel.pri_out[J]	sI_stb_o	-0.023200	-0.296992
