# start	end	slack_synth_ns	slack_route_ns
core_inst.loop_counter_reg[I]	core_inst.exponent_mem.tmp_read_dataI[J]	-0.327300	-0.324321
address[I]	read_data[I]	-0.310000	-0.230896
core_inst.sel_z_one_reg	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.248900	-0.132761
core_inst.sel_z_one_reg	core_inst.montprod_inst.add_carry_in_sa	-0.244300	-0.133212
core_inst.sel_z_p_reg	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.242000	-0.135962
core_inst.sel_z_p_reg	core_inst.montprod_inst.add_carry_in_sa	-0.237400	-0.136413
modulus_length_reg[I]	core_inst.montprod_inst.montprod_ctrl_reg[I]	-0.219100	-0.180258
modulus_length_reg[I]	core_inst.montprod_inst.word_index[I]	-0.216700	-0.198819
core_inst.sel_p_p_reg	core_inst.montprod_inst.add_carry_in_sa	-0.209800	-0.129767
modulus_length_reg[I]	core_inst.exponent_mem.tmp_read_dataI[J]	-0.203600	-0.258704
core_inst.sel_x_nr_reg	core_inst.montprod_inst.add_carry_in_sa	-0.195300	-0.135153
core_inst.sel_p_p_reg	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.188500	-0.124972
modulus_length_reg[I]	core_inst.montprod_inst.ready_reg	-0.188200	-0.162697
address[I]	core_inst.exponent_mem.mem[I][J]	-0.180400	0.122809
core_inst.residue_mem.tmp_read_dataI[J]	core_inst.residue_mem.mem[I][J]	-0.175600	-0.137982
core_inst.sel_x_nr_reg	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.168100	-0.119122
modulus_length_reg[I]	core_inst.montprod_dest_reg[I]	-0.166000	-0.180711
modulus_length_reg[I]	core_inst.montprod_select_reg[I]	-0.166000	-0.178693
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.residue_mem.mem[I][J]	-0.150100	-0.105912
core_inst.one_reg[I]	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.148500	-0.126224
core_inst.sel_one_nr_reg	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.139900	-0.132709
address[I]	core_inst.modulus_mem.mem[I][J]	-0.136300	0.108714
address[I]	core_inst.message_mem.mem[I][J]	-0.134800	0.115644
core_inst.p_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.133800	-0.121080
core_inst.residue_inst.residue_ctrl_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.118600	-0.140907
core_inst.result_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.117500	-0.092449
core_inst.result_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sa	-0.112900	-0.098496
cs	core_inst.exponent_mem.mem[I][J]	-0.112900	0.221467
core_inst.message_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.110800	-0.089605
modulus_length_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.104500	-0.164388
core_inst.p_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sa	-0.103800	-0.063205
core_inst.montprod_inst.add_carry_in_sm	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.099400	-0.092667
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.098400	-0.095645
core_inst.montprod_inst.s_mem.tmp_read_data[I]	core_inst.montprod_inst.s_mem_wr_dataI[J]	-0.095300	-0.099752
