# start	end	slack_synth_ns	slack_route_ns
core.enc_block.sword_ctr_reg[I]	core.keymem.key_mem[I][J]	-0.387900	-0.425738
core.aes_core_ctrl_reg[I]	core.keymem.key_mem[I][J]	-0.345000	-0.410213
init_reg	core.keymem.key_mem[I][J]	-0.341800	-0.402148
core.enc_block.block_wI_reg[J]	core.keymem.key_mem[I][J]	-0.338300	-0.353940
core.enc_block.enc_ctrl_reg[I]	core.keymem.key_mem[I][J]	-0.328800	-0.410886
core.dec_block.sword_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.323000	-0.282960
core.enc_block.sword_ctr_reg[I]	core.keymem.prev_keyI_reg[J]	-0.322000	-0.382630
core.enc_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.298000	-0.267495
core.dec_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.287800	-0.290454
encdec_reg	core.dec_block.block_wI_reg[J]	-0.282700	-0.304339
init_reg	core.keymem.prev_keyI_reg[J]	-0.280400	-0.371639
core.aes_core_ctrl_reg[I]	core.keymem.prev_keyI_reg[J]	-0.271300	-0.358052
core.enc_block.block_wI_reg[J]	core.keymem.prev_keyI_reg[J]	-0.269500	-0.298189
core.enc_block.enc_ctrl_reg[I]	core.keymem.prev_keyI_reg[J]	-0.268500	-0.354702
core.keymem.prev_keyI_reg[J]	core.keymem.key_mem[I][J]	-0.264500	-0.345843
core.dec_block.dec_ctrl_reg[I]	core.dec_block.block_wI_reg[J]	-0.248200	-0.165559
core.keymem.prev_keyI_reg[J]	core.keymem.prev_keyI_reg[J]	-0.205500	-0.310979
core.enc_block.sword_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.179200	-0.307581
address[I]	read_data[I]	-0.151700	-0.202340
init_reg	core.enc_block.block_wI_reg[J]	-0.151600	-0.283128
core.aes_core_ctrl_reg[I]	core.enc_block.block_wI_reg[J]	-0.146300	-0.277535
core.enc_block.enc_ctrl_reg[I]	core.enc_block.block_wI_reg[J]	-0.139700	-0.284563
core.dec_block.block_wI_reg[J]	core.dec_block.block_wI_reg[J]	-0.138300	-0.209844
core.enc_block.block_wI_reg[J]	core.enc_block.block_wI_reg[J]	-0.126700	-0.210913
core.keymem.prev_keyI_reg[J]	core.enc_block.block_wI_reg[J]	-0.061900	-0.176442
we	read_data[I]	-0.057900	-0.083902
cs	read_data[I]	-0.047500	-0.064433
core.enc_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.046600	-0.025592
core.keymem.key_mem[I][J]	core.dec_block.block_wI_reg[J]	-0.045400	-0.085173
core.dec_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.038000	-0.036435
encdec_reg	core.enc_block.block_wI_reg[J]	-0.037800	-0.052651
keylen_reg	read_data[I]	0.067000	0.006400
address[I]	key_reg[I][J]	0.079600	0.254121
core.keymem.round_ctr_reg[I]	core.keymem.key_mem[I][J]	0.082400	0.030323
address[I]	block_reg[I][J]	0.093900	0.255360
cs	key_reg[I][J]	0.094800	0.317751
we	key_reg[I][J]	0.095200	0.317829
core.keymem.round_ctr_reg[I]	core.keymem.prev_keyI_reg[J]	0.106400	0.089500
keylen_reg	core.enc_block.block_wI_reg[J]	0.136200	0.107130
cs	block_reg[I][J]	0.167800	0.360016
we	block_reg[I][J]	0.169300	0.361392
core.keymem.rcon_reg[I]	core.keymem.key_mem[I][J]	0.170000	0.170211
encdec_reg	read_data[I]	0.170300	-0.078608
core.keymem.round_ctr_reg[I]	core.keymem.rcon_reg[I]	0.187800	0.155033
address[I]	init_reg	0.195100	0.374307
address[I]	next_reg	0.195100	0.379584
address[I]	encdec_reg	0.202300	0.333321
address[I]	keylen_reg	0.202300	0.323779
keylen_reg	core.keymem.key_mem[I][J]	0.218600	0.193242
keylen_reg	core.keymem.prev_keyI_reg[J]	0.245500	0.195102
core.keymem.round_ctr_reg[I]	core.keymem.round_ctr_reg[I]	0.251100	0.342122
result_reg[I]	read_data[I]	0.256300	-0.036718
core.keymem.rcon_reg[I]	core.keymem.prev_keyI_reg[J]	0.272800	0.225844
init_reg	read_data[I]	0.279100	-0.048870
cs	encdec_reg	0.280800	0.481327
cs	keylen_reg	0.280800	0.471785
next_reg	read_data[I]	0.281400	-0.049388
we	encdec_reg	0.282300	0.482704
we	keylen_reg	0.282300	0.473162
keylen_reg	core.keymem.rcon_reg[I]	0.287900	0.192244
core.dec_block.sword_ctr_reg[I]	core.dec_block.round_ctr_reg[I]	0.309400	0.371846
ready_reg	read_data[I]	0.312100	0.016859
core.keymem.key_mem_ctrl_reg[I]	core.keymem.key_mem[I][J]	0.316400	0.195844
keylen_reg	core.dec_block.round_ctr_reg[I]	0.317500	0.517548
keylen_reg	keylen_reg	0.317800	0.517886
valid_reg	read_data[I]	0.326800	-0.001005
core.keymem.key_mem_ctrl_reg[I]	core.keymem.prev_keyI_reg[J]	0.344000	0.250185
write_data[I]	key_reg[I][J]	0.352000	0.498879
write_data[I]	encdec_reg	0.352100	0.560323
write_data[I]	keylen_reg	0.352100	0.541744
write_data[I]	block_reg[I][J]	0.352300	0.514344
write_data[I]	init_reg	0.364500	0.531826
write_data[I]	next_reg	0.364500	0.526919
core.keymem.key_mem[I][J]	core.enc_block.block_wI_reg[J]	0.368200	0.232492
core.keymem.key_mem_ctrl_reg[I]	core.keymem.round_ctr_reg[I]	0.368900	0.365033
core.dec_block.sword_ctr_reg[I]	core.dec_block.dec_ctrl_reg[I]	0.377500	0.447564
we	init_reg	0.381600	0.588845
we	next_reg	0.381600	0.594116
cs	init_reg	0.383400	0.590825
cs	next_reg	0.383400	0.596084
encdec_reg	core.dec_block.round_ctr_reg[I]	0.389000	0.350704
core.keymem.key_mem_ctrl_reg[I]	core.keymem.key_mem_ctrl_reg[I]	0.389600	0.401896
core.keymem.key_mem_ctrl_reg[I]	core.keymem.rcon_reg[I]	0.396100	0.242095
core.dec_block.dec_ctrl_reg[I]	core.dec_block.round_ctr_reg[I]	0.409100	0.348774
keylen_reg	core.keymem.key_mem_ctrl_reg[I]	0.409600	0.360662
key_reg[I][J]	core.keymem.key_mem[I][J]	0.417200	0.418596
encdec_reg	core.aes_core_ctrl_reg[I]	0.424700	0.348149
encdec_reg	core.dec_block.ready_reg	0.429500	0.403981
