# start	end	slack_synth_ns	slack_route_ns
fdct_zigzag.dct_mod.ddin[I]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	-1.080000	-0.403601
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coef[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	-0.376400	-0.295078
fdct_zigzag.dct_mod.ddin[I]	fdct_zigzag.dct_mod.ddin[I]	-0.056700	0.422437
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coef[K]	0.057400	0.315679
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.059400	0.321288
ena	qnr.divider.q[I]	0.066600	0.430740
ena	rle.rle.den	0.067700	0.422713
ena	qnr.divider.divider.s_pipe[I][J]	0.069100	0.338765
ena	rle.rle.amp[I]	0.069700	0.417248
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	0.069700	0.320269
ena	rle.rle.size[I]	0.073700	0.380717
ena	rle.rzI.state	0.074400	0.381416
ena	rle.rle.amp[I]	0.074500	0.380249
ena	rle.rle.zero_cnt[I]	0.080000	0.373263
ena	rle.rle.rlen[I]	0.080500	0.378396
ena	rle.rle.sample_cnt[I]	0.080700	0.378136
ena	rle.rle.dcterm	0.082500	0.385715
ena	qnr.dep[I]	0.082800	0.369199
ena	fdct_zigzag.dct_mod.douten	0.083700	0.465615
ena	qnr.divider.iz[I]	0.083900	0.363436
ena	rle.rzI.den	0.084900	0.349083
ena	qnr.rq[I]	0.085300	0.365117
ena	fdct_zigzag.dct_mod.sample_cnt[I]	0.086700	0.344005
ena	fdct_zigzag.dct_mod.ddcnt	0.092000	0.391441
ena	fdct_zigzag.dct_mod.ddgo	0.096700	0.378857
ena	fdct_zigzag.dct_mod.ddin[I]	0.096700	0.361679
ena	fdct_zigzag.dct_mod.dgo	0.096700	0.367708
ena	fdct_zigzag.dct_mod.go	0.096700	0.367605
ena	rle.rzI.deno	0.096700	0.370228
ena	qnr.divider.spipe[I]	0.097000	0.405504
ena	fdct_zigzag.zigzag_mod.ld_zigzag	0.097000	0.447975
ena	fdct_zigzag.zigzag_mod.sresult[I][J]	0.097000	0.322231
ena	qnr.divider.divider.d_pipe[I][J]	0.097000	0.346081
ena	qnr.divider.divider.q[I]	0.097000	0.363655
ena	qnr.divider.divider.q_pipe[I][J]	0.097000	0.347412
ena	qnr.divider.id[I]	0.097000	0.400497
ena	qnr.divider.iz[I]	0.097000	0.362364
ena	qnr.divider.q[I]	0.097000	0.361883
ena	rle.rzI.ampo[J]	0.097000	0.363557
ena	rle.rzI.dc	0.097000	0.373490
ena	rle.rzI.dco	0.097000	0.370175
ena	rle.rzI.rleno[J]	0.097000	0.365867
ena	rle.rzI.sizeo[J]	0.097000	0.365099
ena	fdct_zigzag.dct_mod.dddcnt	0.097100	0.439644
ena	dfdct_dout[I]	0.100900	0.400993
ena	dqnr_doe	0.100900	0.393564
qnr.divider.divider.s_pipe[I][J]	qnr.divider.divider.s_pipe[I][J]	0.104100	0.081978
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.104300	0.046797
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.105700	0.046078
qnr.divider.divider.d_pipe[I][J]	qnr.divider.divider.s_pipe[I][J]	0.112100	0.073264
ena	rle.rle.state	0.116500	0.400826
ena	qnr.qnt_cnt[I]	0.120700	0.364226
ena	rle.rzI.amp[J]	0.147300	0.367563
ena	rle.rzI.rlen[J]	0.147300	0.367949
ena	rle.rzI.size[J]	0.147300	0.370448
dstrb	fdct_zigzag.dct_mod.sample_cnt[I]	0.163800	0.376027
qnr.divider.q[I]	qnr.rq[I]	0.177400	0.147796
qnr.rq[I]	rle.rle.size[I]	0.217600	0.181618
fdct_zigzag.dct_mod.sample_cnt[I]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coef[K]	0.222200	0.050352
qnr.divider.id[I]	qnr.divider.divider.s_pipe[I][J]	0.239300	0.204279
