# start	end	slack_synth_ns	slack_route_ns
omegaShiftedReg_I[J]	degreeOmegaReg[I]	-0.483600	-0.364869
lambdaRegI_J[K]	degreeLambdaReg[I]	-0.467600	-0.370929
RsDecodeSyndrome.count[I]	RsDecodePolymul.sumReg_I[J]	-0.048100	-0.048558
enable	RsDecodeDelay.RsDecodeDpRam.mem[I][J]	-0.004600	0.270076
RsDecodeDelay.RsDecodeDpRam.rRdAddr[I]	RsDecodeDelay.RsDecodeDpRam.q[I]	0.001100	-0.053409
enable	RsDecodeChien.denomEIInvReg[J]	0.003300	0.394297
enable	RsDecodeEuclide.omegaInvReg[I]	0.003300	0.322719
enable	RsDecodeEuclide.lambdaBkp_I[J]	0.003500	0.284333
enable	omegaShiftedReg_I[J]	0.009800	0.325483
RsDecodeErasure.epsilonReg_I[J]	RsDecodePolymul.sumReg_I[J]	0.011100	0.013938
enable	RsDecodeEuclide.lambdaInner_I[J]	0.011300	0.269388
enable	RsDecodePolymul.epsilonReg_I[J]	0.012900	0.320570
enable	RsDecodePolymul.sumReg_I[J]	0.012900	0.318473
enable	doneReg[I]	0.013400	0.384664
enable	lambdaRegI_J[K]	0.013400	0.304808
enable	startReg[I]	0.013400	0.393259
enable	RsDecodeChien.numErrorReg[I]	0.015700	0.337974
enable	doneShiftReg	0.017300	0.389430
enable	RsDecodeChien.count[I]	0.018000	0.316264
enable	RsDecodeChien.epsilonReg_I[J]	0.018000	0.304541
enable	RsDecodeChien.lambdaReg_I[J]	0.018000	0.312586
enable	RsDecodeChien.omegaReg_I[J]	0.018000	0.313736
enable	RsDecodeSyndrome.reg_I[J]	0.018100	0.310156
enable	RsDecodeEuclide.count[I]	0.021900	0.373743
enable	RsDecodeEuclide.qNewReg[I]	0.021900	0.323855
enable	RsDecodeEuclide.omegaBkpReg[I]	0.021900	0.323943
enable	RsDecodeEuclide.phase[I]	0.021900	0.412514
enable	RsDecodeEuclide.omegaInner_I[J]	0.023800	0.299624
RsDecodeChien.lambdaReg_I[J]	RsDecodeChien.numErrorRegI[J]	0.030400	0.001674
enable	RsDecodeErasure.powerReg[I]	0.032600	0.341999
enable	RsDecodeDelay.readPointer[I]	0.034200	0.331179
enable	RsDecodeErasure.count[I]	0.034600	0.309089
enable	RsDecodeSyndrome.count[I]	0.034700	0.368631
enable	RsDecodeEuclide.omegaBkp_I[J]	0.034800	0.276664
enable	RsDecodePolymul.count[I]	0.034800	0.342999
enable	RsDecodeDelay.writePointer[I]	0.036200	0.279121
RsDecodeEuclide.qNewReg[I]	RsDecodeEuclide.omegaInner_I[J]	0.038700	0.013887
RsDecodeChien.denomEIReg[J]	RsDecodeChien.denomEIInvReg[J]	0.039800	0.065241
RsDecodeEuclide.qNewReg[I]	RsDecodeEuclide.lambdaInner_I[J]	0.043500	0.010569
enable	RsDecodeChien.epsilonSumReg[I]	0.043500	0.324940
enable	epsilonRegI_J[K]	0.043700	0.309479
RsDecodeEuclide.qNewReg[I]	RsDecodeEuclide.lambdaXorReg_I[J]	0.045300	0.008805
erasureIn	RsDecodeSyndrome.reg_I[J]	0.045900	0.316912
RsDecodeEuclide.qNewReg[I]	RsDecodeEuclide.omegaBkp_I[J]	0.049800	0.023130
erasureIn	RsDecodeDelay.RsDecodeDpRam.mem[I][J]	0.053400	0.334282
enable	doneShift	0.054100	0.375850
enable	RsDecodeErasure.epsilonReg_I[J]	0.055700	0.306466
enable	RsDecodeChien.numErrorRegI[J]	0.055900	0.337974
enable	degreeEpsilonRegI[J]	0.055900	0.336784
RsDecodeEuclide.omegaInner_I[J]	RsDecodeEuclide.omegaInner_I[J]	0.057600	0.068584
