# start	end	slack_synth_ns	slack_route_ns
core.w_mem_inst.w_mem[I][J]	core.a_reg[I]	-1.081800	-0.810667
core.w_mem_inst.w_mem[I][J]	core.e_reg[I]	-0.888300	-0.753767
core.w_mem_inst.w_ctr_reg[I]	core.a_reg[I]	-0.725100	-0.613492
core.round_ctr_reg[I]	core.a_reg[I]	-0.666000	-0.430539
core.w_mem_inst.w_ctr_reg[I]	core.e_reg[I]	-0.567700	-0.547645
core.round_ctr_reg[I]	core.e_reg[I]	-0.508500	-0.367630
core.e_reg[I]	core.a_reg[I]	-0.381600	-0.316187
core.f_reg[I]	core.a_reg[I]	-0.337100	-0.317708
core.g_reg[I]	core.a_reg[I]	-0.330100	-0.314240
core.e_reg[I]	core.e_reg[I]	-0.224100	-0.259284
address[I]	read_data[I]	-0.212900	-0.297200
core.f_reg[I]	core.e_reg[I]	-0.179600	-0.251491
core.g_reg[I]	core.e_reg[I]	-0.172700	-0.248023
address[I]	error	-0.027400	-0.037475
core.h_reg[I]	core.a_reg[I]	-0.014000	0.009209
we	read_data[I]	0.123900	0.044656
core.h_reg[I]	core.e_reg[I]	0.143500	0.052675
cs	read_data[I]	0.145200	0.079537
we	error	0.210500	0.069399
cs	error	0.253700	0.121561
address[I]	block_reg[I][J]	0.323100	0.388087
address[I]	work_factor_num_reg[I]	0.398200	0.646761
core.w_mem_inst.w_mem[I][J]	core.w_mem_inst.w_mem[I][J]	0.475300	0.288718
core.a_reg[I]	core.a_reg[I]	0.513500	0.433334
address[I]	work_factor_reg	0.541500	0.770021
address[I]	mode_reg[I]	0.541900	0.770885
address[I]	init_reg	0.570800	0.797979
address[I]	next_reg	0.570800	0.795936
block_reg[I][J]	read_data[I]	0.586900	0.189891
digest_reg[I]	read_data[I]	0.592700	0.180061
core.c_reg[I]	core.a_reg[I]	0.593100	0.573654
core.b_reg[I]	core.a_reg[I]	0.593500	0.570580
cs	block_reg[I][J]	0.602500	0.697177
we	block_reg[I][J]	0.605200	0.717943
we	work_factor_num_reg[I]	0.643500	0.862455
cs	work_factor_num_reg[I]	0.663600	0.893144
init_reg	read_data[I]	0.751100	0.351815
core.g_reg[I]	core.HI_reg[J]	0.760500	0.492341
next_reg	read_data[I]	0.761600	0.381807
core.c_reg[I]	core.HI_reg[J]	0.766000	0.554392
core.HI_reg[J]	core.HI_reg[J]	0.767100	0.508334
core.d_reg[I]	core.e_reg[I]	0.774000	0.725153
core.d_reg[I]	core.HI_reg[J]	0.779700	0.578422
work_factor_num_reg[I]	read_data[I]	0.783900	0.377629
core.f_reg[I]	core.HI_reg[J]	0.788000	0.528231
core.h_reg[I]	core.HI_reg[J]	0.790600	0.453904
digest_valid_reg	read_data[I]	0.792100	0.405502
ready_reg	read_data[I]	0.799500	0.397730
cs	work_factor_reg	0.800000	1.019097
cs	mode_reg[I]	0.800300	1.019961
we	work_factor_reg	0.801000	1.038098
we	mode_reg[I]	0.801300	1.038962
write_data[I]	block_reg[I][J]	0.803600	0.870848
write_data[I]	work_factor_num_reg[I]	0.803600	0.901090
core.e_reg[I]	core.HI_reg[J]	0.803900	0.419351
mode_reg[I]	read_data[I]	0.813800	0.442573
core.b_reg[I]	core.HI_reg[J]	0.827500	0.638037
work_factor_reg	read_data[I]	0.827600	0.451523
cs	init_reg	0.829300	1.047055
cs	next_reg	0.829300	1.045012
we	init_reg	0.830300	1.066057
we	next_reg	0.830300	1.064013
write_data[I]	init_reg	0.840000	1.118803
write_data[I]	next_reg	0.840000	1.098449
work_factor_num_reg[I]	core.b_reg[I]	0.847400	0.514207
work_factor_num_reg[I]	core.d_reg[I]	0.847400	0.525344
work_factor_num_reg[I]	core.c_reg[I]	0.848400	0.525662
work_factor_num_reg[I]	core.a_reg[I]	0.849800	0.512743
work_factor_num_reg[I]	core.e_reg[I]	0.849800	0.542968
work_factor_num_reg[I]	core.f_reg[I]	0.849800	0.491390
work_factor_num_reg[I]	core.w_mem_inst.w_mem[I][J]	0.849800	0.501072
core.work_factor_ctr_reg[I]	core.b_reg[I]	0.852200	0.531776
core.work_factor_ctr_reg[I]	core.d_reg[I]	0.852200	0.542913
core.work_factor_ctr_reg[I]	core.c_reg[I]	0.853200	0.543231
core.work_factor_ctr_reg[I]	core.a_reg[I]	0.854500	0.530312
core.work_factor_ctr_reg[I]	core.e_reg[I]	0.854500	0.560537
core.work_factor_ctr_reg[I]	core.f_reg[I]	0.854500	0.508959
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_mem[I][J]	0.854500	0.518641
core.a_reg[I]	core.HI_reg[J]	0.860900	0.593948
write_data[I]	work_factor_reg	0.862100	1.106367
