# start	end	slack_synth_ns	slack_route_ns
lane[I]	dq_target_index[I][J]	-0.395700	-0.127723
i_wb_addr[I]	stageI_do_pre	-0.374700	-0.022607
lane[I]	dqs_target_index[I]	-0.346900	-0.045312
lane[I]	added_read_pipe[I]	-0.313600	-0.079645
i_wb_cyc	stageI_do_pre	-0.309600	0.033013
lane[I]	o_phy_idelay_dqs_cntvaluein[I]	-0.275700	-0.325290
lane[I]	o_phy_odelay_data_cntvaluein[I]	-0.264000	-0.320200
lane[I]	o_phy_odelay_dqs_cntvaluein[I]	-0.264000	-0.325985
i_wb_addr[I]	stageI_do_act	-0.240400	0.092804
i_wb_cyc	stageI_do_act	-0.239800	0.137838
lane[I]	idelay_dqs_cntvaluein[I][J]	-0.207900	0.004951
lane[I]	o_phy_idelay_data_cntvaluein[I]	-0.204600	-0.328609
lane[I]	o_phy_write_leveling_calib	-0.202300	-0.168752
i_phy_iserdes_bitslip_reference[I]	o_phy_write_leveling_calib	-0.198800	0.094020
lane[I]	state_calibrate[I]	-0.194800	-0.170051
lane[I]	sample_clk_repeat[I]	-0.191300	-0.185826
i_phy_iserdes_bitslip_reference[I]	state_calibrate[I]	-0.191200	0.093011
lane[I]	data_start_index[I][J]	-0.188200	-0.233319
i_phy_iserdes_bitslip_reference[I]	sample_clk_repeat[I]	-0.187800	0.076946
stageI_do_wr_or_rd	o_wb_stall_int_q	-0.180300	-0.112599
state_calibrate[I]	write_test_address_counter[I]	-0.177100	0.003969
stageI_next_bank[J]	stageI_do_wr_or_rd	-0.177000	-0.208607
stageI_do_pre	o_wb_stall_int_q	-0.176300	-0.234048
dqs_start_index[I]	state_calibrate[I]	-0.176000	-0.103636
stageI_bank[J]	stageI_do_wr_or_rd	-0.174800	-0.208607
lane[I]	odelay_dqs_cntvaluein[I][J]	-0.173900	-0.001233
lane[I]	stored_write_level_feedback	-0.172300	-0.169628
dqs_start_index[I]	delay_before_read_data[I]	-0.171800	-0.091911
dqs_start_index[I]	dqs_start_index[I]	-0.170100	-0.094282
lane[I]	prev_write_level_feedback	-0.169800	-0.177541
stageI_do_act	stageI_do_wr_or_rd	-0.169500	-0.177601
i_phy_iserdes_bitslip_reference[I]	stored_write_level_feedback	-0.168700	0.093143
stageI_next_bank[J]	o_wb_stall_int_q	-0.168500	-0.223409
dqs_start_index[I]	o_phy_idelay_data_ld[I]	-0.166800	-0.095991
stageI_bank[J]	o_wb_stall_int_q	-0.166200	-0.223409
i_phy_iserdes_bitslip_reference[I]	prev_write_level_feedback	-0.166200	0.085230
