# start	end	slack_synth_ns	slack_route_ns
acs_inst_I.pm_r[J]	pm_normalize_inst.pm_nom_r[I][J]	-2.457900	-0.948660
register_num_i[I]	pm_normalize_inst.pm_nom_r[I][J]	-1.055800	0.361887
src_rdata_i[I]	bmu_inst_I.bm_r[J]	-0.265100	0.120663
register_num_i[I]	acs_inst_I.pm_r[J]	-0.089600	0.270076
register_num_i[I]	acs_inst_I.survivor_path_r	-0.037500	0.315741
bmu_inst_I.bm_r[J]	acs_inst_I.pm_r[J]	0.539300	0.747758
bmu_inst_I.bm_r[J]	acs_inst_I.survivor_path_r	0.591500	0.788806
frame_start_i	fetch_src_cnt_r[I]	0.626400	0.731361
rst_sync_i	fetch_src_cnt_r[I]	0.627300	0.720280
register_num_i[I]	bmu_inst_I.low_codeword_tmp[J]	0.628200	0.458637
infobit_length_i[I]	src_addr_r[I]	0.639400	0.872906
frame_start_i	pm_normalize_inst.pm_nom_r[I][J]	0.646500	0.614209
polynomialI_i[J]	bmu_inst_I.low_codeword_tmp[J]	0.652500	0.765756
tail_biting_en_i	pm_normalize_inst.pm_nom_r[I][J]	0.664900	0.730206
rst_sync_i	pm_normalize_inst.pm_nom_r[I][J]	0.673900	0.540527
valid_polynomials_i[I]	bmu_inst_I.bm_r[J]	0.678600	0.647934
infobit_length_i[I]	src_len_counter_r[I]	0.693700	0.895146
valid_polynomials_i[I]	bmu_inst_I.low_codeword[J]	0.699800	0.747989
frame_start_i	src_addr_r[I]	0.703700	0.833073
register_num_i[I]	acs_en_r[I]	0.710900	0.654457
rst_sync_i	bmu_inst_I.low_codeword_tmp[J]	0.716000	0.767572
rst_sync_i	src_addr_r[I]	0.721700	0.854853
rst_sync_i	bmu_inst_I.low_codeword[J]	0.731000	0.716414
rst_sync_i	acs_inst_I.pm_r[J]	0.736600	0.752463
acs_inst_I.valid_r	tb_addr_o[I]	0.739600	0.597488
rst_sync_i	bmu_inst_I.bm_r[J]	0.771400	0.716563
bmu_inst_I.low_codeword[J]	bmu_inst_I.bm_r[J]	0.781200	0.680300
frame_start_i	dst_addr_r[I]	0.782000	0.847266
rst_sync_i	acs_inst_I.survivor_path_r	0.783800	0.802512
rst_sync_i	src_len_counter_r[I]	0.791600	0.830430
rst_sync_i	bmu_inst_I.calc_codeword_en	0.791700	0.814544
frame_start_i	src_len_counter_r[I]	0.795100	0.894101
frame_start_i	trellis_idx_r[I]	0.800200	0.846684
rst_sync_i	dst_addr_r[I]	0.805000	0.872423
frame_start_i	state_r[I]	0.812800	0.989400
rst_sync_i	first_loop_r	0.822600	1.151514
rst_sync_i	full_tb_start_r	0.822600	1.150589
rst_sync_i	state_r[I]	0.822600	0.927705
rst_sync_i	trellis_idx_r[I]	0.823200	0.813688
rst_sync_i	bmu_inst_I.ready_r	0.824300	1.145076
rst_sync_i	acs_en_r[I]	0.825600	0.961870
frame_start_i	first_loop_r	0.826100	1.175391
frame_start_i	full_tb_start_r	0.826100	1.174466
rst_sync_i	acs_inst_I.valid_r	0.827000	0.990070
frame_start_i	bmu_inst_I.ready_r	0.827900	1.168953
frame_start_i	acs_en_r[I]	0.829200	0.936713
tail_biting_en_i	trellis_idx_r[I]	0.838400	1.090626
rst_sync_i	byte_idx_r[I]	0.840900	1.091374
frame_start_i	byte_idx_r[I]	0.844500	1.115251
frame_start_i	src_rd_r	0.848800	0.918868
rst_sync_i	traceback_ins.tb_counter_r[I]	0.851900	1.086721
frame_start_i	tb_len_r[I]	0.852700	1.006114
rst_sync_i	traceback_ins.tb_addr_r[I]	0.852800	1.209697
rst_sync_i	tb_len_r[I]	0.853600	0.935529
frame_start_i	frame_done_r	0.854900	1.008404
frame_start_i	tb_wr_addr_r[I]	0.854900	1.012196
rst_sync_i	frame_done_r	0.855800	0.964034
rst_sync_i	tb_wr_addr_r[I]	0.855800	0.967427
frame_start_i	flush_all_start_r	0.863100	1.030825
frame_start_i	half_tb_start_r	0.863100	1.030199
frame_start_i	last_loop_r	0.863100	1.021256
rst_sync_i	traceback_ins.tb_rd_r	0.863700	1.262914
rst_sync_i	decoding_start_r	0.863800	1.200887
rst_sync_i	flush_all_start_r	0.864000	0.989804
rst_sync_i	half_tb_start_r	0.864000	0.989173
rst_sync_i	last_loop_r	0.864000	0.979822
rst_sync_i	traceback_start_r	0.864100	1.191325
rst_sync_i	busy_r	0.864400	1.196491
rst_sync_i	dst_wr_r	0.869900	1.121273
rst_sync_i	src_rd_r	0.871800	0.944025
frame_start_i	dst_wr_r	0.873400	1.145150
frame_start_i	bmu_inst_I.calc_polyn_en	0.874100	0.950887
rst_sync_i	bmu_inst_I.calc_polyn_en	0.897100	0.976044
frame_start_i	busy_r	0.903000	1.124511
pm_normalize_inst.pm_nom_r[I][J]	acs_inst_I.pm_r[J]	0.903600	0.787968
rst_sync_i	dst_wr_dI_r	0.906100	1.140641
rst_sync_i	bmu_ready_dI_r	0.915400	1.163143
infobit_length_i[I]	trellis_idx_r[I]	0.926900	1.146626
decoding_length_i[I]	trellis_idx_r[I]	0.943500	1.170154
pm_normalize_inst.pm_nom_r[I][J]	acs_inst_I.survivor_path_r	0.955700	0.831651
rst_sync_i	soft_data_valid_r	0.958100	1.132703
rst_sync_i	bmu_inst_I.bm_valid_r	0.958200	1.117030
tb_wr_addr_r[I]	tb_addr_o[I]	0.962800	0.672460
traceback_ins.tb_addr_r[I]	tb_addr_o[I]	0.991200	0.682463
dst_start_addr_i[I]	dst_addr_r[I]	0.993200	1.234208
src_start_addr_i[I]	src_addr_r[I]	1.008500	1.261115
acs_inst_I.survivor_path_r	tb_wdata_o[I]	1.019600	0.703865
dst_addr_r[I]	dst_addr_o[I]	1.020800	0.708915
src_addr_r[I]	src_addr_o[I]	1.020800	0.705650
src_rd_r	src_rd_o	1.028300	0.723657
frame_done_r	frame_done_o	1.034600	0.733482
busy_r	busy_o	1.034600	0.736228
dst_wr_r	dst_wr_o	1.036700	0.679952
acs_inst_I.valid_r	tb_wr_o	1.036700	0.672421
traceback_ins.tb_rd_r	tb_rd_o	1.039600	0.743271
src_len_counter_r[I]	src_addr_r[I]	1.302700	1.287091
flush_all_start_r	fetch_src_cnt_r[I]	1.329200	1.256312
half_tb_start_r	fetch_src_cnt_r[I]	1.339700	1.321144
full_tb_start_r	fetch_src_cnt_r[I]	1.345600	1.317438
acs_inst_I.valid_r	pm_normalize_inst.pm_nom_r[I][J]	1.348000	0.964685
src_len_counter_r[I]	src_len_counter_r[I]	1.357100	1.309331
fetch_src_cnt_r[I]	fetch_src_cnt_r[I]	1.375600	1.346244
src_rd_r	fetch_src_cnt_r[I]	1.377300	1.323909
trellis_idx_r[I]	flush_all_start_r	1.384700	1.361138
trellis_idx_r[I]	full_tb_start_r	1.385700	1.372509
trellis_idx_r[I]	half_tb_start_r	1.391400	1.378628
fetch_src_cnt_r[I]	src_len_counter_r[I]	1.416300	1.344550
trellis_idx_r[I]	first_loop_r	1.417000	1.408406
src_addr_r[I]	src_addr_r[I]	1.418700	1.382426
traceback_ins.tb_counter_r[I]	traceback_ins.tb_addr_r[I]	1.433300	1.410725
bmu_inst_I.calc_polyn_en	bmu_inst_I.low_codeword_tmp[J]	1.437000	1.223509
trellis_idx_r[I]	trellis_idx_r[I]	1.452100	1.449488
dst_addr_r[I]	dst_addr_r[I]	1.453800	1.453569
state_r[I]	first_loop_r	1.459700	1.429301
flush_all_start_r	src_len_counter_r[I]	1.470600	1.373032
state_r[I]	flush_all_start_r	1.472700	1.437405
acs_inst_I.valid_r	tb_wr_addr_r[I]	1.475700	1.502988
traceback_ins.tb_counter_r[I]	traceback_ins.tb_counter_r[I]	1.477000	1.457153
traceback_ins.tb_addr_r[I]	traceback_ins.tb_addr_r[I]	1.477200	1.451525
src_rd_r	src_addr_r[I]	1.478100	1.450391
acs_inst_I.valid_r	src_len_counter_r[I]	1.478300	1.308628
half_tb_start_r	src_len_counter_r[I]	1.481100	1.437865
bmu_inst_I.calc_codeword_en	bmu_inst_I.low_codeword[J]	1.482800	1.314874
state_r[I]	trellis_idx_r[I]	1.483900	1.455541
full_tb_start_r	src_len_counter_r[I]	1.487100	1.434159
trellis_idx_r[I]	state_r[I]	1.493500	1.476304
bmu_inst_I.bm_valid_r	acs_inst_I.pm_r[J]	1.501500	1.289470
bmu_inst_I.calc_polyn_en	bmu_inst_I.calc_codeword_en	1.512700	1.293636
dst_wr_dI_r	trellis_idx_r[I]	1.515100	1.496330
dst_wr_r	trellis_idx_r[I]	1.521200	1.506473
traceback_ins.tb_counter_r[I]	traceback_ins.tb_rd_r	1.522500	1.518712
fetch_src_cnt_r[I]	src_rd_r	1.524000	1.490198
soft_data_valid_r	bmu_inst_I.bm_r[J]	1.539000	1.298772
dst_wr_r	dst_addr_r[I]	1.543900	1.520634
state_r[I]	full_tb_start_r	1.548300	1.565593
bmu_inst_I.bm_valid_r	acs_inst_I.survivor_path_r	1.548700	1.350871
decoding_start_r	full_tb_start_r	1.552100	1.537794
tb_wr_addr_r[I]	tb_wr_addr_r[I]	1.562000	1.552959
acs_en_r[I]	acs_inst_I.pm_r[J]	1.563700	1.377442
state_r[I]	state_r[I]	1.565200	1.538772
fetch_src_cnt_r[I]	traceback_start_r	1.568100	1.548326
state_r[I]	tb_len_r[I]	1.570100	1.537122
state_r[I]	half_tb_start_r	1.571700	1.571674
decoding_start_r	first_loop_r	1.582100	1.571465
state_r[I]	last_loop_r	1.582500	1.602756
traceback_start_r	traceback_ins.tb_addr_r[I]	1.584600	1.502045
