# start	end	slack_synth_ns	slack_route_ns
uI.state[J]	wbIs_data_o[J]	-0.320700	-0.533649
uI.uJ.pri_outK[L]	wbIs_data_o[J]	-0.238500	-0.457074
uI.uJ.state[K]	wbIs_data_o[J]	-0.222200	-0.446526
uI.ch_sel_r[J]	wbIs_data_o[J]	-0.196600	-0.402170
wbI_addr_i[J]	wbIs_data_o[J]	-0.135200	-0.118042
wbI_addr_i[J]	wbI_addr_o[J]	-0.127000	-0.110561
wbI_addr_i[J]	wbI_cyc_o	-0.119800	-0.079190
wbI_addr_i[J]	wbI_err_o	-0.102900	-0.084058
wbI_addr_i[J]	wbI_rty_o	-0.102900	-0.107438
wbI_addr_i[J]	wbIm_data_o[J]	-0.097100	-0.108589
wbI_addr_i[J]	wbI_sel_o[J]	-0.082200	-0.044899
wbI_addr_i[J]	wbI_stb_o	-0.073800	-0.103596
wbI_addr_i[J]	wbI_we_o	-0.073800	-0.097077
wbI_addr_i[J]	wbI_ack_o	-0.072300	-0.102518
wbI_cyc_i	wbI_addr_o[J]	-0.071400	-0.038212
wbI_cyc_i	wbI_err_o	-0.034900	0.007012
wbI_cyc_i	wbI_rty_o	-0.034900	-0.013429
wbI_cyc_i	wbIs_data_o[J]	-0.034600	-0.032203
wbI_cyc_i	wbIm_data_o[J]	-0.032900	-0.035746
wbI_cyc_i	wbI_cyc_o	-0.029900	0.016129
wbI_cyc_i	wbI_ack_o	-0.010300	-0.030222
wbI_cyc_i	wbI_stb_o	-0.004600	-0.031294
wbI_cyc_i	wbI_we_o	-0.004600	-0.022118
wbI_cyc_i	wbI_sel_o[J]	0.018500	0.007674
uI.uJ.ch_csr_r[K]	wbIs_data_o[J]	0.025200	-0.296450
uI.state[J]	uI.mastJ_adr[K]	0.042200	-0.095609
wbI_ack_i	wbI_ack_o	0.056300	0.082325
uI.state[J]	uI.uJ.mast_stb	0.068300	-0.020211
uI.state[J]	uI.chunk_J	0.082600	-0.050641
uI.ndr_r[J]	wbIs_data_o[J]	0.084000	-0.225139
uI.state[J]	uI.uJ.mast_we_r	0.097400	0.089262
uI.state[J]	uI.adrJ_cnt[K]	0.100100	-0.078732
uI.uJ.pri_outK[L]	uI.mastJ_adr[K]	0.103000	-0.033450
uI.state[J]	uI.tsz_cnt[J]	0.106700	-0.024084
uI.state[J]	uI.uJ.ch_done	0.115000	0.066806
uI.uJ.state[K]	uI.mastJ_adr[K]	0.115300	-0.011595
uI.state[J]	uI.read_r	0.123200	0.046757
uI.state[J]	uI.uJ.mast_cyc	0.126400	0.090523
uI.uJ.pri_outK[L]	uI.uJ.mast_stb	0.129100	0.033357
uI.ch_sel_r[J]	uI.mastJ_adr[K]	0.129600	0.040569
uI.state[J]	uI.uJ.ch_txsz_s[K]	0.139200	0.048601
uI.uJ.state[K]	uI.uJ.mast_stb	0.141400	0.066912
uI.state[J]	uI.uJ.ch_csr_r[K]	0.146400	0.066905
uI.state[J]	uI.state[J]	0.147400	0.007810
uI.state[J]	uI.uJ.pointer_sr[K]	0.147500	0.031308
uI.state[J]	uI.uJ.ch_eol	0.147600	0.071270
uI.state[J]	uI.uJ.ch_chk_sz_r[K]	0.148200	-0.018310
uI.state[J]	uI.uJ.ch_adrK_s[L]	0.153400	-0.043461
uI.uJ.pri_outK[L]	uI.chunk_dec	0.154900	0.097007
uI.ch_sel_r[J]	uI.uJ.mast_stb	0.155700	0.111268
wbI_stb_i	wbI_stb_o	0.165400	0.103945
wbI_we_i	wbI_we_o	0.165400	0.095054
wbIs_data_i[J]	wbIm_data_o[J]	0.165400	0.099684
wbIm_data_i[J]	wbIs_data_o[J]	0.165800	0.093300
uI.uJ.pri_outK[L]	uI.adrJ_cnt[K]	0.166600	-0.042567
uI.state[J]	uI.uJ.ch_tot_sz_r[K]	0.166800	0.048602
uI.uJ.state[K]	uI.adrJ_cnt[K]	0.166900	-0.007876
uI.uJ.state[K]	uI.chunk_dec	0.167200	0.130562
uI.state[J]	uI.uJ.ptr_valid	0.168300	0.050660
uI.state[J]	uI.uJ.int_src_r[K]	0.170400	0.064033
uI.state[J]	uI.uJ.ch_adrK_r[L]	0.175000	-0.045841
uI.state[J]	uI.chunk_cnt[J]	0.175400	-0.042496
wbI_sel_i[J]	wbI_sel_o[J]	0.177300	0.128732
uI.uJ.pri_outK[L]	uI.uJ.pointer_sr[K]	0.180200	0.097168
uI.ch_sel_r[J]	uI.chunk_dec	0.181500	0.174918
uI.state[J]	uI.uJ.pointer_r[K]	0.183000	-0.020930
uI.uJ.pri_outK[L]	uI.read_r	0.184000	0.100325
uI.uJ.pri_outK[L]	uI.uJ.ch_chk_sz_r[K]	0.187200	0.097560
uI.uJ.state[K]	uI.tsz_cnt[J]	0.188500	0.086531
uI.state[J]	uI.ch_sel_r[J]	0.189100	0.061191
uI.uJ.pri_outK[L]	uI.uJ.ch_txsz_s[K]	0.189800	0.127665
uI.uJ.pri_outK[L]	uI.uJ.mast_we_r	0.192400	0.159925
wbI_err_i	wbI_err_o	0.193000	0.139851
wbI_rty_i	wbI_rty_o	0.193000	0.146775
uI.state[J]	uI.tsz_cnt_is_J_r	0.193000	0.211188
uI.uJ.pri_outK[L]	uI.tsz_cnt[J]	0.193100	0.054980
uI.uJ.state[K]	uI.chunk_J	0.194200	0.041608
uI.uJ.state[K]	uI.read_r	0.196300	0.133880
uI.uJ.state[K]	uI.uJ.pointer_sr[K]	0.196400	0.119022
uI.uJ.pri_outK[L]	uI.uJ.ch_tot_sz_r[K]	0.196600	0.146549
uI.uJ.state[K]	uI.uJ.ch_txsz_s[K]	0.196900	0.159217
uI.uJ.pri_outK[L]	uI.uJ.ch_done	0.197200	0.146583
uI.uJ.pri_outK[L]	uI.uJ.ch_csr_r[K]	0.197700	0.137022
uI.uJ.pri_outK[L]	uI.uJ.ch_eol	0.198900	0.145100
uI.uJ.state[K]	uI.uJ.mast_we_r	0.200100	0.198835
uI.uJ.pri_outK[L]	uI.chunk_J	0.200800	0.012525
uI.uJ.state[K]	uI.uJ.ch_chk_sz_r[K]	0.201300	0.114106
uI.state[J]	uI.write_r	0.203000	0.141711
uI.state[J]	uI.uJ.ch_rl	0.206500	0.119218
uI.ch_sel_r[J]	uI.read_r	0.210600	0.178236
uI.uJ.state[K]	uI.uJ.ch_tot_sz_r[K]	0.212800	0.178101
uI.uJ.state[K]	uI.uJ.ch_done	0.213400	0.176322
uI.uJ.state[K]	uI.uJ.ch_csr_r[K]	0.213900	0.166761
uI.uJ.pri_outK[L]	uI.state[J]	0.213900	0.090176
uI.uJ.pri_outK[L]	uI.uJ.pointer_r[K]	0.214100	0.041228
uI.uJ.state[K]	uI.state[J]	0.214200	0.100692
uI.uJ.state[K]	uI.uJ.ch_eol	0.215100	0.174838
uI.state[J]	uI.ack_o[J]	0.220500	0.097694
uI.ch_sel_r[J]	uI.adrJ_cnt[K]	0.221200	0.035648
wbI_ack_i	uI.mastJ_adr[K]	0.221400	0.476156
uI.ch_sel_r[J]	uI.uJ.mast_we_r	0.221400	0.226002
uI.uJ.pri_outK[L]	uI.uJ.mast_cyc	0.221400	0.130545
uI.ch_sel_r[J]	uI.uJ.ch_txsz_s[K]	0.229000	0.177790
uI.uJ.state[K]	uI.uJ.mast_cyc	0.229100	0.165236
uI.uJ.state[K]	uI.uJ.pointer_r[K]	0.230300	0.063083
uI.ch_sel_r[J]	uI.tsz_cnt[J]	0.230800	0.105105
uI.uJ.pri_outK[L]	uI.uJ.ptr_valid	0.231900	0.159202
uI.ch_sel_r[J]	uI.uJ.ch_csr_r[K]	0.232500	0.212771
uI.uJ.pri_outK[L]	uI.uJ.int_src_r[K]	0.233500	0.141970
uI.ch_sel_r[J]	uI.uJ.ch_adrK_s[L]	0.236900	0.093010
uI.ch_sel_r[J]	uI.uJ.pointer_sr[K]	0.239500	0.171186
uI.ch_sel_r[J]	uI.uJ.ch_chk_sz_r[K]	0.240500	0.133793
uI.uJ.pri_outK[L]	uI.tsz_cnt_is_J_r	0.244800	0.293553
wbI_ack_i	uI.uJ.mast_stb	0.247400	0.504172
uI.uJ.pri_outK[L]	uI.uJ.ch_rl	0.247500	0.177191
uI.uJ.state[K]	uI.uJ.ptr_valid	0.248100	0.183556
uI.ch_sel_r[J]	uI.chunk_J	0.248500	0.082668
uI.uJ.state[K]	uI.uJ.int_src_r[K]	0.249700	0.171708
uI.ch_sel_r[J]	uI.uJ.ch_tot_sz_r[K]	0.250300	0.196674
uI.ch_sel_r[J]	uI.uJ.mast_cyc	0.250500	0.208761
uI.uJ.pri_outK[L]	uI.ch_sel_r[J]	0.250900	0.171276
uI.uJ.pri_outK[L]	uI.chunk_cnt[J]	0.251100	0.060589
uI.uJ.state[K]	uI.tsz_cnt_is_J_r	0.251900	0.304070
uI.uJ.pri_outK[L]	uI.uJ.ch_adrK_r[L]	0.252600	0.070310
wbI_ack_i	uI.adrJ_cnt[K]	0.257700	0.474402
uI.uJ.pri_outK[L]	uI.ack_o[J]	0.262400	0.175484
uI.state[J]	uI.write_hold_r	0.263600	0.128356
uI.uJ.state[K]	uI.uJ.ch_rl	0.263700	0.206929
uI.uJ.state[K]	uI.uJ.ch_adrK_s[L]	0.265300	0.074436
uI.ch_sel_r[J]	uI.uJ.ch_adrK_r[L]	0.267800	0.120435
uI.ch_sel_r[J]	uI.state[J]	0.268600	0.144386
uI.uJ.state[K]	uI.uJ.ch_adrK_r[L]	0.268800	0.101861
uI.uJ.state[K]	uI.write_r	0.269800	0.236064
wbI_ack_i	uI.chunk_dec	0.273300	0.579343
uI.ch_sel_r[J]	uI.uJ.ptr_valid	0.274400	0.192106
uI.ch_sel_r[J]	uI.uJ.ch_done	0.274500	0.222332
uI.uJ.pri_outK[L]	uI.write_r	0.276400	0.194890
uI.uJ.state[K]	uI.ack_o[J]	0.279900	0.189943
uI.state[J]	uI.uJ.ch_err	0.279900	0.395537
uI.uJ.state[K]	uI.ch_sel_r[J]	0.281300	0.172398
uI.uJ.state[K]	uI.chunk_cnt[J]	0.281600	0.070443
uI.state[J]	uI.next_ch	0.281600	0.164003
uI.uJ.pri_outK[L]	uI.uJ.ch_adrK_s[L]	0.283000	0.042885
uI.ch_sel_r[J]	uI.uJ.pointer_r[K]	0.292600	0.115247
uI.ch_sel_r[J]	uI.uJ.ch_eol	0.296800	0.220849
uI.ch_sel_r[J]	uI.tsz_cnt_is_J_r	0.299800	0.348426
wbI_ack_i	uI.read_r	0.302300	0.582661
wbI_ack_i	uI.state[J]	0.305000	0.601912
uI.ch_sel_r[J]	uI.ch_sel_r[J]	0.305300	0.200645
uI.ch_sel_r[J]	uI.chunk_cnt[J]	0.305500	0.098951
uI.ch_sel_r[J]	uI.ack_o[J]	0.307200	0.237071
uI.state[J]	uI.next_start	0.309200	0.207684
uI.uJ.slv_adr[K]	uI.uJ.ch_tot_sz_r[K]	0.309300	0.186991
uI.uJ.slv_adr[K]	uI.uJ.pointer_r[K]	0.313600	0.112915
uI.ch_sel_r[J]	uI.write_r	0.314600	0.274303
uI.ch_sel_r[J]	uI.uJ.int_src_r[K]	0.321900	0.217719
uI.uJ.slv_adr[K]	uI.uJ.ch_csr_rK[L]	0.322100	0.222372
uI.uJ.state[K]	uI.uJ.ch_err	0.323600	0.474628
uI.uJ.state[K]	uI.uJ.state[K]	0.326900	0.340313
wbI_ack_i	uI.uJ.mast_we_r	0.327900	0.517121
uI.uJ.slv_adr[K]	uI.uJ.ch_txsz_s[K]	0.328100	0.214703
uI.uJ.slv_adr[K]	uI.uJ.ch_sz_inf	0.328100	0.276309
uI.uJ.state[K]	uI.write_hold_r	0.330400	0.190080
uI.uJ.ch_csr_r[K]	uI.mastJ_adr[K]	0.331500	0.186888
uI.uJ.pri_outK[L]	uI.write_hold_r	0.337000	0.155389
uI.uJ.pri_outK[L]	uI.uJ.ch_err	0.337200	0.470340
uI.state[J]	uI.de_start_r	0.338300	0.236744
uI.uJ.slv_adr[K]	uI.uJ.ch_chk_sz_r[K]	0.338400	0.207567
uI.uJ.slv_adr[K]	uI.uJ.ch_stop	0.349300	0.249507
uI.uJ.slv_adr[K]	_I_	0.351700	0.033768
uI.uJ.slv_adr[K]	uI.uJ.ch_amK_r[L]	0.351700	0.127873
wbI_ack_i	uI.uJ.mast_cyc	0.353800	0.555931
uI.uJ.ch_csr_r[K]	uI.uJ.mast_stb	0.357600	0.226426
uI.uJ.slv_adr[K]	uI.uJ.ch_adrK_r[L]	0.358300	0.274250
uI.uJ.slv_adr[K]	uI.uJ.sw_pointer_r[K]	0.358700	0.150599
uI.ch_sel_r[J]	uI.uJ.ch_rl	0.359100	0.252939
uI.uJ.mast_dout[K]	wbIs_data_o[J]	0.360300	-0.020332
wbI_ack_i	uI.write_r	0.360600	0.672894
uI.uJ.slv_adr[K]	uI.uJ.ch_adrK_s[L]	0.361700	0.258920
uI.uJ.ch_csr_r[K]	uI.adrJ_cnt[K]	0.367800	0.195760
uI.uJ.slv_adr[K]	uI.uJ.ch_done	0.376900	0.224558
uI.uJ.slv_adr[K]	uI.uJ.rest_en	0.376900	0.260778
uI.uJ.ch_csr_r[K]	uI.chunk_dec	0.383400	0.290076
uI.ch_sel_r[J]	uI.write_hold_r	0.384800	0.233604
uI.uJ.state[K]	uI.next_ch	0.393200	0.256253
uI.uJ.pri_outK[L]	uI.next_ch	0.393300	0.225070
uI.uJ.slv_adr[K]	uI.int_maska_r[J]	0.397500	0.328289
uI.uJ.ch_csr_r[K]	uI.uJ.state[K]	0.397900	0.291258
uI.uJ.slv_adr[K]	uI.wb_rf_dout[J]	0.400200	0.154251
uI.ch_sel_r[J]	uI.uJ.ch_err	0.403800	0.552026
wbI_addr_i[J]	uI.uJ.slv_re	0.407000	0.667281
uI.uJ.slv_adr[K]	uI.uJ.int_src_r[K]	0.411700	0.303372
uI.uJ.ch_csr_r[K]	uI.read_r	0.412500	0.293393
uI.state[J]	uI.uJ.ch_busy	0.412500	0.220495
uI.uJ.ch_csr_r[K]	uI.state[J]	0.415100	0.318529
uI.tsz_cnt[J]	wbIs_data_o[J]	0.417800	0.072238
uI.uJ.ch_csr_r[K]	uI.tsz_cnt[J]	0.419400	0.305510
wbI_ack_i	uI.uJ.mast_dout[K]	0.420100	0.500391
uI.uJ.state[K]	uI.next_start	0.427900	0.318890
uI.uJ.pri_outK[L]	uI.next_start	0.430200	0.317769
uI.ch_sel_r[J]	uI.next_start	0.433200	0.347137
uI.req_r[J]	uI.uJ.state[K]	0.433400	0.354545
uI.uJ.slv_adr[K]	uI.uJ.ch_err	0.437300	0.326824
uI.uJ.ch_csr_r[K]	uI.uJ.mast_we_r	0.438000	0.321293
wbI_ack_i	uI.write_hold_r	0.438300	0.698647
wbI_addr_i[J]	uI.uJ.slv_we	0.438400	0.696924
uI.ch_sel_r[J]	uI.next_ch	0.439700	0.303285
uI.uJ.ch_csr_r[K]	uI.ch_sel_r[J]	0.441400	0.299536
uI.uJ.ch_csr_r[K]	uI.chunk_cnt[J]	0.441600	0.284186
uI.uJ.ch_csr_rK[L]	uI.uJ.state[K]	0.448300	0.291258
uI.ack_o[J]	uI.uJ.state[K]	0.452800	0.363375
uI.uJ.state[K]	uI.de_start_r	0.457100	0.347951
uI.uJ.pri_outK[L]	uI.de_start_r	0.459300	0.346830
wbI_cyc_i	uI.uJ.slv_re	0.460300	0.707256
uI.ch_sel_r[J]	uI.de_start_r	0.462400	0.376198
uI.req_r[J]	uI.adrJ_cnt[K]	0.463300	0.275535
uI.ndr_r[J]	uI.uJ.ch_done	0.468300	0.370149
uI.req_r[J]	uI.tsz_cnt[J]	0.468600	0.385286
uI.uJ.ch_csr_r[K]	uI.write_r	0.470800	0.389512
uI.uJ.ch_sz_inf	uI.mastJ_adr[K]	0.471000	0.297929
uI.ack_o[J]	uI.adrJ_cnt[K]	0.475100	0.286535
uI.ndr_r[J]	uI.mastJ_adr[K]	0.475700	0.277059
uI.uJ.ch_csr_r[K]	uI.uJ.mast_cyc	0.476800	0.383542
uI.ack_o[J]	uI.tsz_cnt[J]	0.480500	0.396286
uI.adrJ_cnt[K]	uI.adrJ_cnt[K]	0.484300	0.375925
uI.req_r[J]	uI.ch_sel_r[J]	0.484900	0.379311
uI.tsz_cnt[J]	uI.mastJ_adr[K]	0.485000	0.363678
uI.req_r[J]	uI.chunk_cnt[J]	0.485100	0.363961
wbI_cyc_i	uI.uJ.slv_we	0.491700	0.736578
uI.uJ.slv_we	uI.uJ.ch_tot_sz_r[K]	0.495400	0.375344
uI.ack_o[J]	uI.ch_sel_r[J]	0.496700	0.390311
uI.ack_o[J]	uI.chunk_cnt[J]	0.497000	0.374961
uI.ndr_r[J]	uI.uJ.ch_csr_r[K]	0.499700	0.369141
uI.ndr_r[J]	uI.uJ.ch_eol	0.500900	0.374612
wbI_err_i	uI.dma_abort_r	0.502200	0.780010
wbI_stb_i	uI.uJ.slv_re	0.502500	0.789834
uI.uJ.ch_sz_inf	uI.uJ.mast_stb	0.503000	0.350377
wbI_cyc_i	uI.uJ.rf_ack	0.505600	0.748181
uI.ndr_r[J]	uI.uJ.mast_stb	0.507400	0.432995
uI.uJ.slv_we	uI.uJ.ch_chk_sz_r[K]	0.507800	0.357817
uI.uJ.ch_sz_inf	uI.chunk_dec	0.509900	0.386381
uI.uJ.slv_we	uI.uJ.ch_sz_inf	0.510200	0.437192
_I_	wbIm_data_o[J]	0.510900	0.081922
uI.uJ.slv_adr[K]	uI.int_maskb_r[J]	0.511100	0.370016
uI.wb_rf_dout[J]	wbIm_data_o[J]	0.511100	0.132496
uI.ndr_r[J]	uI.uJ.mast_cyc	0.511600	0.484753
uI.uJ.slv_we	uI.uJ.ch_txsz_s[K]	0.512400	0.346548
uI.req_r[J]	uI.state[J]	0.513600	0.452674
uI.mastJ_adr[K]	wbI_addr_o[J]	0.514200	0.115349
uI.uJ.rf_ack	wbI_ack_o	0.514500	0.142210
uI.uJ.mast_stb	wbI_stb_o	0.514500	0.138355
uI.uJ.mast_we_r	wbI_we_o	0.514500	0.141926
uI.ndr_r[J]	uI.uJ.mast_we_r	0.514900	0.392605
uI.tsz_cnt[J]	uI.uJ.mast_stb	0.516900	0.416126
uI.mastJ_drdy_r	uI.uJ.ch_chk_sz_r[K]	0.520600	0.421086
uI.mastJ_drdy_r	uI.uJ.ch_tot_sz_r[K]	0.521200	0.456652
uI.ndr_r[J]	uI.uJ.ptr_valid	0.521600	0.417790
uI.uJ.pri_outK[L]	uI.uJ.ch_busy	0.523600	0.357719
uI.ndr_r[J]	uI.uJ.int_src_r[K]	0.523700	0.367375
uI.tsz_cnt[J]	uI.chunk_dec	0.523900	0.452130
uI.ack_o[J]	uI.state[J]	0.525400	0.463674
uI.uJ.mast_cyc	wbI_cyc_o	0.527600	0.164743
dma_rest_i[I]	uI.uJ.ptr_valid	0.528300	0.828668
uI.uJ.ch_chk_sz_r[K]	uI.chunk_J	0.529200	0.439515
uI.tsz_cnt[J]	uI.tsz_cnt[J]	0.531200	0.485929
uI.uJ.ch_csr_r[K]	uI.write_hold_r	0.531400	0.408386
uI.chunk_cnt[J]	uI.uJ.ch_done	0.531900	0.386267
uI.chunk_cnt[J]	uI.uJ.ch_csr_r[K]	0.532400	0.376706
uI.chunk_cnt[J]	uI.uJ.ch_eol	0.533600	0.384784
wbI_stb_i	uI.uJ.slv_we	0.533900	0.821581
uI.mastJ_drdy_r	uI.uJ.ch_txsz_s[K]	0.536000	0.436368
uI.uJ.int_src_r[K]	_I_	0.538000	0.384119
uI.uJ.ch_sz_inf	uI.read_r	0.538200	0.387831
uI.uJ.state[K]	uI.uJ.ch_busy	0.539800	0.367494
wbI_stb_i	uI.uJ.rf_ack	0.542600	0.837145
uI.chunk_cnt[J]	uI.mastJ_adr[K]	0.543400	0.448296
uI.uJ.ch_csr_rK[L]	_I_	0.544000	0.387236
uI.uJ.ch_sz_inf	uI.ack_o[J]	0.547500	0.387192
wbIs_data_i[J]	uI.uJ.mast_dout[K]	0.550100	0.837220
uI.tsz_cnt[J]	uI.read_r	0.552100	0.453580
uI.mastJ_drdy_r	uI.uJ.ch_adrK_s[L]	0.554900	0.313391
uI.uJ.ch_sz_inf	uI.uJ.int_src_r[K]	0.555100	0.408695
uI.ndr_r[J]	uI.uJ.ch_rl	0.559800	0.409309
uI.ack_o[J]	dma_ack_o[I]	0.561400	0.196827
uI.inta_o	inta_o	0.561400	0.202317
uI.intb_o	intb_o	0.561400	0.208805
uI.tsz_cnt[J]	uI.ack_o[J]	0.561500	0.452941
wbI_we_i	uI.uJ.slv_re	0.564600	0.856304
uI.chunk_cnt[J]	uI.uJ.ptr_valid	0.566600	0.425356
uI.chunk_cnt[J]	uI.uJ.int_src_r[K]	0.568200	0.381654
uI.tsz_cnt[J]	uI.uJ.int_src_r[K]	0.569000	0.474444
uI.chunk_cnt[J]	uI.uJ.mast_stb	0.569500	0.487833
uI.uJ.ch_sz_inf	uI.uJ.mast_cyc	0.570300	0.380020
uI.mastJ_drdy_r	uI.uJ.ch_adrK_r[L]	0.572400	0.327429
dma_rest_i[I]	uI.uJ.ch_rl	0.575400	0.750871
wbI_we_i	uI.uJ.slv_we	0.576000	0.860901
uI.uJ.ch_adrK_r[L]	_I_	0.578500	0.404696
dma_nd_i[I]	uI.ndr_r[J]	0.578800	0.872418
dma_req_i[I]	uI.req_r[J]	0.581000	0.874373
dma_req_i[I]	uI.ndr_r[J]	0.581000	0.866403
uI.uJ.ch_sz_inf	uI.next_ch	0.581800	0.453501
uI.chunk_cnt[J]	uI.uJ.ch_rl	0.582200	0.416875
dma_nd_i[I]	uI.ndnr[J]	0.583400	0.850369
uI.uJ.rest_en	_I_	0.583600	0.480223
uI.tsz_cnt[J]	uI.uJ.mast_cyc	0.584300	0.445769
uI.uJ.slv_we	uI.uJ.pointer_r[K]	0.586400	0.468197
uI.uJ.ch_sz_inf	uI.state[J]	0.587300	0.370884
uI.uJ.ch_amK_r[L]	_I_	0.590800	0.426448
dma_req_i[I]	uI.ndnr[J]	0.592700	0.856495
uI.chunk_cnt[J]	uI.chunk_dec	0.595300	0.551484
uI.uJ.slv_we	uI.uJ.ch_adrK_r[L]	0.595300	0.365295
uI.tsz_cnt[J]	uI.next_ch	0.595800	0.519250
uI.uJ.slv_we	uI.uJ.sw_pointer_r[K]	0.597500	0.384697
uI.uJ.slv_we	uI.uJ.ch_amK_r[L]	0.597900	0.411937
uI.chunk_cnt[J]	uI.chunk_cnt[J]	0.599200	0.571553
uI.uJ.mast_dout[K]	uI.uJ.ch_txsz_s[K]	0.599600	0.408138
uI.uJ.slv_we	uI.uJ.ch_csr_r[K]	0.600600	0.454868
uI.uJ.slv_we	uI.uJ.ch_csr_rK[L]	0.600600	0.454868
uI.tsz_cnt[J]	uI.state[J]	0.601300	0.436633
uI.uJ.ch_sz_inf	uI.write_hold_r	0.601700	0.417853
uI.uJ.sw_pointer_r[K]	_I_	0.604900	0.368352
uI.uJ.slv_we	uI.uJ.ch_adrK_s[L]	0.605300	0.369936
uI.uJ.ch_csr_r[K]	uI.uJ.pri_outK[L]	0.605500	0.521279
wbI_ack_i	uI.mastJ_drdy_r	0.606200	0.717588
wbI_addr_i[J]	uI.uJ.slv_adr[K]	0.606200	0.865158
wbIm_data_i[J]	uI.uJ.slv_dout[K]	0.606200	0.893299
uI.int_maska_r[J]	_I_	0.607300	0.512553
uI.uJ.pointer_r[K]	uI.mastJ_adr[K]	0.607500	0.553529
uI.uJ.ch_err	uI.state[J]	0.608900	0.518422
uI.uJ.slv_we	uI.uJ.ch_done	0.610300	0.457054
uI.uJ.slv_we	uI.uJ.rest_en	0.610300	0.478430
uI.dma_abort_r	uI.mastJ_adr[K]	0.611100	0.538726
uI.uJ.pointer_r[K]	_I_	0.611500	0.390379
uI.uJ.pointer_sr[K]	uI.mastJ_adr[K]	0.613600	0.574535
uI.tsz_cnt[J]	uI.write_hold_r	0.615700	0.483602
uI.uJ.mast_dout[K]	uI.uJ.ch_tot_sz_r[K]	0.616700	0.349729
uI.uJ.slv_adr[K]	uI.csr_r[J]	0.618100	0.433558
uI.uJ.int_src_r[K]	uI.intb_o	0.620200	0.374620
uI.uJ.ch_csr_r[K]	uI.next_start	0.621800	0.446028
uI.ndr_r[J]	uI.state[J]	0.622200	0.535633
uI.uJ.int_src_r[K]	uI.state[J]	0.623600	0.528741
uI.chunk_cnt[J]	uI.read_r	0.624400	0.553217
uI.chunk_J	uI.mastJ_adr[K]	0.626100	0.555586
uI.uJ.ch_chk_sz_r[K]	uI.chunk_cnt[J]	0.626100	0.518182
uI.uJ.ch_csr_rK[L]	uI.intb_o	0.626200	0.376479
uI.uJ.out_r[K]	uI.adrJ_cnt[K]	0.626800	0.520349
uI.ch_sel_r[J]	uI.uJ.ch_busy	0.631000	0.370118
uI.uJ.ch_csr_rK[L]	uI.wb_rf_dout[J]	0.636400	0.513371
uI.int_maskb_r[J]	_I_	0.636500	0.530294
uI.dma_abort_r	uI.uJ.mast_stb	0.637100	0.578263
uI.uJ.ch_chk_sz_r[K]	_I_	0.639100	0.459785
uI.tsz_cnt_is_J_r	uI.uJ.ch_done	0.639800	0.510006
uI.uJ.int_src_r[K]	uI.wb_rf_dout[J]	0.640000	0.505838
uI.uJ.ch_tot_sz_r[K]	_I_	0.640100	0.413671
uI.mastJ_drdy_r	uI.uJ.ch_csr_r[K]	0.643900	0.579477
uI.uJ.ch_done	_I_	0.645700	0.500100
uI.tsz_cnt[J]	uI.uJ.ch_txsz_s[K]	0.646700	0.615378
uI.req_r[J]	uI.uJ.pri_outK[L]	0.647500	0.593562
uI.uJ.slv_we	uI.uJ.ch_stop	0.648300	0.482003
uI.uJ.ch_err	_I_	0.649500	0.372593
uI.uJ.ch_csr_r[K]	uI.de_start_r	0.651000	0.475089
uI.chunk_J	uI.uJ.mast_stb	0.652100	0.595122
uI.adrJ_cnt[K]	uI.uJ.out_r[K]	0.653000	0.552233
uI.uJ.ch_amK_r[L]	uI.adrJ_cnt[K]	0.653300	0.518087
uI.uJ.ch_rl	uI.uJ.ch_adrK_r[L]	0.655000	0.470639
uI.uJ.ch_sz_inf	_I_	0.655400	0.568057
uI.chunk_cnt[J]	uI.ack_o[J]	0.658500	0.559492
uI.next_start	uI.adrJ_cnt[K]	0.658900	0.513992
uI.uJ.rest_en	uI.uJ.ch_txsz_s[K]	0.659200	0.460153
uI.ack_o[J]	uI.uJ.pri_outK[L]	0.659300	0.603305
uI.uJ.slv_we	uI.int_maska_r[J]	0.661900	0.509218
uI.uJ.slv_we	uI.int_maskb_r[J]	0.661900	0.522162
uI.tsz_cnt[J]	uI.uJ.ch_tot_sz_r[K]	0.661900	0.560341
uI.dma_abort_r	uI.chunk_dec	0.663000	0.641914
uI.uJ.ch_busy	_I_	0.663200	0.382907
uI.uJ.ch_rl	uI.uJ.ch_tot_sz_r[K]	0.663800	0.509232
uI.next_start	uI.tsz_cnt[J]	0.664300	0.623742
uI.uJ.ptr_valid	uI.wb_rf_dout[J]	0.665500	0.577965
uI.uJ.ch_csr_rK[L]	uI.uJ.pri_outK[L]	0.667500	0.521279
uI.uJ.ch_adrK_r[L]	uI.adrJ_cnt[K]	0.667800	0.609304
uI.tsz_cnt_is_J_r	uI.uJ.ch_csr_r[K]	0.668000	0.509393
uI.req_r[J]	uI.next_start	0.668200	0.525804
uI.read_r	uI.adrJ_cnt[K]	0.668600	0.603065
uI.tsz_cnt_is_J_r	uI.uJ.ch_eol	0.669200	0.515499
uI.uJ.ch_tot_sz_r[K]	uI.wb_rf_dout[J]	0.670200	0.574701
uI.chunk_cnt[J]	uI.uJ.mast_cyc	0.674800	0.545406
uI.state[J]	uI.wb_rf_dout[J]	0.675300	0.493836
